row_label_raw,row_label_full,col_0,col_1,Địa chỉ,31/12/2017,31/12/2017_1,1/1/2017,1/1/2017_1,numeric__col_1,numeric__Địa chỉ,numeric__31/12/2017,numeric__31/12/2017_1,numeric__1/1/2017,numeric__1/1/2017_1
,,,,Địa chỉ,% sở hữu,Quyền biểu quyết,% sở hữu,Quyền biểu quyết,,,,,,
Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,,,,,,
1,Công ty con cấp 1 > 1,1,Công ty CP Hà Đô 1,Hà Nội,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
2,Công ty con cấp 1 > 2,2,Công ty CP Hà Đô 23,Hà Nội,60%,60%,60%,60%,,,0.6,0.6,0.6,0.6
3,Công ty con cấp 1 > 3,3,Công ty CP Hà Đô 4,TP. Hồ Chí Minh,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
4,Công ty con cấp 1 > 4,4,Công ty CP Hà Đô 45 (i),TP. Hồ Chí Minh,51%,51%,-,-,,,0.51,0.51,,
5,Công ty con cấp 1 > 5,5,Công ty CP Đầu tư Khánh Hà,TP. Nha Trang,65%,65%,65%,65%,,,0.65,0.65,0.65,0.65
6,Công ty con cấp 1 > 6,6,Công ty CP Hà Đô - 756 Sài Gòn,TP. Hồ Chí Minh,63%,63%,"70,8%","70,8%",,,0.63,0.63,0.708,0.708
7,Công ty con cấp 1 > 7,7,Công ty CP Cơ điện Xây dựng - Thiết bị Công nghiệp Hà Đô,Hà Nội,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
8,Công ty con cấp 1 > 8,8,Công ty CP Tư vấn Hà Đô,Hà Nội,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
9,Công ty con cấp 1 > 9,9,Công ty CP Za Hưng,Hà Nội,"51,75%","51,75%",54%,54%,,,0.5175,0.5175,0.54,0.54
10,Công ty con cấp 1 > 10,10,Công ty CP Hà Đô Bình Thuận (ii),Bình Thuận,75%,89%,-,-,,,0.75,0.89,,
11,Công ty con cấp 1 > 11,11,Công ty TNHH MTV Đầu tư Quốc tế Hà Đô (iii),"Viên Chăn, Lào",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
12,Công ty con cấp 1 > 12,12,Công ty TNHH MTV Kinh doanh và Môi giới Bất động sản Hà Đô,Hà Nội,100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
13,Công ty con cấp 1 > 13,13,Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô,TP. Hồ Chí Minh,100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
,,,,,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn,,,,,,
Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,31/12/2017,1/1/2017,31/12/2017,1/1/2017,,,,,,
Công ty con của Công ty CP Za Hưng,Công ty con của Công ty CP Za Hưng,Công ty con của Công ty CP Za Hưng,Công ty con của Công ty CP Za Hưng,Công ty con của Công ty CP Za Hưng,31/12/2017,1/1/2017,31/12/2017,1/1/2017,,,,,,
1,Công ty con của Công ty CP Za Hưng > 1,1,Công ty CP Thủy diện Sông Tranh 4 (iv),Quảng Nam,51%,49%,"60,39%","76,5%",,,0.51,0.49,0.6039,0.765
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,
1,Công ty liên kết > 1,1,Công ty CP Thương mại Hà Đô,TP. Hồ Chí Minh,29%,29%,29%,29%,,,0.29,0.29,0.29,0.29
2,Công ty liên kết > 2,2,Công ty CP Thiết bị Giáo dục 1 (v),Hà Nội,39%,39%,-,-,,,0.39,0.39,,
3,Công ty liên kết > 3,3,Công ty CP Năng lượng Agrita - Quảng Nam (vi),Quảng Nam,44%,49%,-,-,,,0.44,0.49,,
4,Công ty liên kết > 4,4,Công ty TNHH Hỗn hợp Dịch Vọng,Hà Nội,50%,50%,-,-,,,0.5,0.5,,
