row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,684.118.840.000,-,(8.560.000),6.010.395.862,26.846.146.872,262.447.312.267,327.318.885.882,1.306.733.020.883,684118840000.0,,-8560000.0,6010395862.0,26846146872.0,262447312267.0,327318885882.0,1306733020883.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,69.046.560.000,-,-,-,-,(69.046.560.000),-,-,69046560000.0,,,,,-69046560000.0,,
Phát hành cổ phiếu và góp vốn,Phát hành cổ phiếu và góp vốn,Phát hành cổ phiếu và góp vốn,6.515.400.000,(33.000.000),-,-,-,-,32.242.121.700,38.724.521.700,6515400000.0,-33000000.0,,,,,32242121700.0,38724521700.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,235.569.824.463,16.584.839.995,252.154.664.458,,,,,,235569824463.0,16584839995.0,252154664458.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,(1.719.133.402),-,-,-,(1.719.133.402),,,,-1719133402.0,,,,-1719133402.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,3.493.310.115,(3.493.310.115),-,-,,,,,3493310115.0,-3493310115.0,,
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,-,-,-,(34.504.687.750),(9.801.265.000),(44.305.952.750),,,,,,-34504687750.0,-9801265000.0,-44305952750.0
Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,-,-,(303.220.000),-,-,-,-,(303.220.000),,,-303220000.0,,,,,-303220000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(2.209.881.859),(106.533.550),(2.316.415.409),,,,,,-2209881859.0,-106533550.0,-2316415409.0
Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,-,-,-,-,-,(703.925.369),(677.760.868),(1.381.686.237),,,,,,-703925369.0,-677760868.0,-1381686237.0
