row_label_raw,row_label_full,col_0,1/1/2017Giá trị ghi sổ và sốcó khả năng trả nợVND,TăngVND,GiảmVND,31/12/2017Giá trị ghi sổ và sốcó khả năng trả nợVND,numeric__1/1/2017Giá trị ghi sổ và sốcó khả năng trả nợVND,numeric__TăngVND,numeric__GiảmVND,numeric__31/12/2017Giá trị ghi sổ và sốcó khả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,136.151.048.742,150.966.509.347,(157.330.429.675),129.787.128.414,136151048742.0,150966509347.0,-157330429675.0,129787128414.0
Vay dài hạn đến hạn trả (Thuyết minh 24(b)),Vay dài hạn đến hạn trả (Thuyết minh 24(b)),Vay dài hạn đến hạn trả (Thuyết minh 24(b)),213.197.078.557,159.610.400.929,(225.014.862.557),147.792.616.929,213197078557.0,159610400929.0,-225014862557.0,147792616929.0
,,,349.348.127.299,310.576.910.276,(382.345.292.232),277.579.745.343,349348127299.0,310576910276.0,-382345292232.0,277579745343.0
Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,,,,
,,,Thuyếtminh,Loại tiền,Lãi suấtnăm,31/12/2017VND,,,,
Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh TP. Hồ Chí Minh 1,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh TP. Hồ Chí Minh 1,Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh TP. Hồ Chí Minh 1,,VND,"7,8%",-,,,0.078,
Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh Hoàng Quốc Việt,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh Hoàng Quốc Việt,Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh Hoàng Quốc Việt,(i),VND,8%,1.460.209.428,,,0.08,1460209428.0
Khoản vay Ngân hàng Đầu tư Phát triển Việt Nam - Chi nhánh Ba Đình,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay Ngân hàng Đầu tư Phát triển Việt Nam - Chi nhánh Ba Đình,Khoản vay Ngân hàng Đầu tư Phát triển Việt Nam - Chi nhánh Ba Đình,,VND,"9,3%",-,,,0.09300000000000001,
Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,,VND,"7,5% - 8%",-,,,,
Khoản vay Ngân hàng Đầu tư Phát triển Việt Nam - Chi nhánh Ba Đình,Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh > Khoản vay Ngân hàng Đầu tư Phát triển Việt Nam - Chi nhánh Ba Đình,Khoản vay Ngân hàng Đầu tư Phát triển Việt Nam - Chi nhánh Ba Đình,,VND,"9,5%",-,,,0.095,
Khoản vay Ngân hàng TMCP Kỹ thương VN - Chi nhánh Thắng Lợi,Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh > Khoản vay Ngân hàng TMCP Kỹ thương VN - Chi nhánh Thắng Lợi,Khoản vay Ngân hàng TMCP Kỹ thương VN - Chi nhánh Thắng Lợi,(ii),VND,7%,13.031.119.104,,,0.07,13031119104.0
Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh TP. Hồ Chí Minh,Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh > Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh TP. Hồ Chí Minh,Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh TP. Hồ Chí Minh,(iii),VND,8%,7.304.054.771,,,0.08,7304054771.0
"Công ty CP Đầu tư IP Việt Nam, một bên liên quan","Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh > Công ty CP Đầu tư IP Việt Nam, một bên liên quan","Công ty CP Đầu tư IP Việt Nam, một bên liên quan",(ii),VND,5%,57.000.000.000,,,0.05,57000000000.0
Vay cá nhân,Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh > Vay cá nhân,Vay cá nhân,(iv),VND,0% - 11%,50.991.745.111,,,,50991745111.0
,,,,,,129.787.128.414,,,,129787128414.0
