row_label_raw,row_label_full,col_0,Địa chỉ,Tỷ lệ sở hữu và quyền biểu quyết,31/12/2017 > Giá trị ghi số VND,31/12/2017 > Giá trị hợp lý VND,numeric__Địa chỉ,numeric__Tỷ lệ sở hữu và quyền biểu quyết,numeric__31/12/2017 > Giá trị ghi số VND,numeric__31/12/2017 > Giá trị hợp lý VND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty CP Thương mại Hà Đô,Công ty liên kết > Công ty CP Thương mại Hà Đô,Công ty CP Thương mại Hà Đô,TP. Hồ Chí Minh,29%,522.513.108,(*),,0.29,522513108.0,
Công ty TNHH Hỗn hợp Dịch Vọng,Công ty liên kết > Công ty TNHH Hỗn hợp Dịch Vọng,Công ty TNHH Hỗn hợp Dịch Vọng,Hà Nội,50%,10.000.000,(*),,0.5,10000000.0,
Công ty CP Thiết bị Giáo dục 1,Công ty liên kết > Công ty CP Thiết bị Giáo dục 1,Công ty CP Thiết bị Giáo dục 1,Hà Nội,39%,77.048.055.937,(*),,0.39,77048055937.0,
Công ty CP Năng lượng Agrita - Quảng Nam,Công ty liên kết > Công ty CP Năng lượng Agrita - Quảng Nam,Công ty CP Năng lượng Agrita - Quảng Nam,Quảng Nam,44%,241.902.376.793,(*),,0.44,241902376793.0,
,,,,,319.482.945.838,(*),,,319482945838.0,
,,,,,1/1/2017,1/1/2017,,,,
,,,Địa chỉ,Tỷ lệ sở hữu và quyền biểu quyết,Giá trị ghi số VND,Giá trị hợp lý VND,,,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty CP Thương mại Hà Đô,Công ty liên kết > Công ty CP Thương mại Hà Đô,Công ty CP Thương mại Hà Đô,TP. Hồ Chí Minh,29%,515.252.409,(*),,0.29,515252409.0,
Công ty TNHH Hỗn hợp Dịch Vọng,Công ty liên kết > Công ty TNHH Hỗn hợp Dịch Vọng,Công ty TNHH Hỗn hợp Dịch Vọng,Hà Nội,50%,10.000.000,(*),,0.5,10000000.0,
,,,,,525.252.409,(*),,,525252409.0,
