row_label_raw,row_label_full,Tại ngày 31/12/2016,Kinh doanh bất động sản VND,Xây dựng VND,Thủy điện VND,Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Kinh doanh bất động sản VND,numeric__Xây dựng VND,numeric__Thủy điện VND,numeric__Hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,4.634.324.190.822,799.417.829.301,1.981.398.484.492,883.755.712.938,(1.599.105.311.551),6.699.790.906.002,4634324190822.0,799417829301.0,1981398484492.0,883755712938.0,-1599105311551.0,6699790906002.0
Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,1.810.000.000,-,-,-,(1.284.747.591),525.252.409,1810000000.0,,,,-1284747591.0,525252409.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,4.636.134.190.822,799.417.829.301,1.981.398.484.492,883.755.712.938,(1.600.390.059.142),6.700.316.158.411,4636134190822.0,799417829301.0,1981398484492.0,883755712938.0,-1600390059142.0,6700316158411.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,3.624.343.358.807,611.790.917.129,1.024.028.968.167,9.259.965.919,(403.125.120.237),4.866.298.089.785,3624343358807.0,611790917129.0,1024028968167.0,9259965919.0,-403125120237.0,4866298089785.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,3.624.343.358.807,611.790.917.129,1.024.028.968.167,9.259.965.919,(403.125.120.237),4.866.298.089.785,3624343358807.0,611790917129.0,1024028968167.0,9259965919.0,-403125120237.0,4866298089785.0
Năm 2016,Năm 2016,Năm 2016,Kinh doanh bất động sản VND,Xây dựng VND,Thủy điện VND,Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,,,,,,
Chỉ tiêu vốn,Năm 2016 > Chỉ tiêu vốn,Chỉ tiêu vốn,45.911.900.926,19.963.182.955,241.197.818.093,420.510.718.957,(14.826.867.795),712.756.753.136,45911900926.0,19963182955.0,241197818093.0,420510718957.0,-14826867795.0,712756753136.0
Khấu hao tài sản cố định hữu hình,Năm 2016 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,(1.329.232.155),(11.997.127.955),(50.203.954.847),(364.904.939),(9.235.771.740),(73.130.991.636),-1329232155.0,-11997127955.0,-50203954847.0,-364904939.0,-9235771740.0,-73130991636.0
Khấu hao tài sản cố định vô hình,Năm 2016 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,(71.589.929),-,(35.037.000),(8.333.332),-,(114.960.261),-71589929.0,,-35037000.0,-8333332.0,,-114960261.0
Khấu hao bất động sản đầu tư,Năm 2016 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,-,-,-,(12.200.590.177),-,(12.200.590.177),,,,-12200590177.0,,-12200590177.0
