row_label_raw,row_label_full,Năm 2017,Kinh doanh bất động sản VND,Xây dựng VND,Thủy điện VND,Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Kinh doanh bất động sản VND,numeric__Xây dựng VND,numeric__Thủy điện VND,numeric__Hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,1.157.513.658.928,604.208.466.816,323.724.922.601,211.529.434.475,-,2.296.976.482.820,1157513658928.0,604208466816.0,323724922601.0,211529434475.0,,2296976482820.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,845.017.500,820.327.306.607,-,73.927.025.190,(895.099.349.297),-,845017500.0,820327306607.0,,73927025190.0,-895099349297.0,
Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,1.158.358.676.428,1.424.535.773.423,323.724.922.601,285.456.459.665,(895.099.349.297),2.296.976.482.820,1158358676428.0,1424535773423.0,323724922601.0,285456459665.0,-895099349297.0,2296976482820.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,390.874.755.662,43.525.650.417,252.474.885.496,124.913.104.755,(30.972.383.721),780.816.012.609,390874755662.0,43525650417.0,252474885496.0,124913104755.0,-30972383721.0,780816012609.0
Thu nhập không phân bổ,Thu nhập không phân bổ,Thu nhập không phân bổ,,,,,,39.951.619.165,,,,,,39951619165.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,,(492.073.460.323),,,,,,-492073460323.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,,328.694.171.451,,,,,,328694171451.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,10.143.445.391,,,,,,10143445391.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(15.395.458.016),,,,,,-15395458016.0
Phần chia lãi của công ty liên kết,Phần chia lãi của công ty liên kết,Phần chia lãi của công ty liên kết,,,,,,(141.747.364),,,,,,-141747364.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(92.223.289.744),,,,,,-92223289744.0
Lợi ích thuế thu nhập doanh nghiệp hoãn lại,Lợi ích thuế thu nhập doanh nghiệp hoãn lại,Lợi ích thuế thu nhập doanh nghiệp hoãn lại,,,,,,42.026.398.661,,,,,,42026398661.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,273.103.520.379,,,,,,273103520379.0
