row_label_raw,row_label_full,Các bên liên quan > Phải thu về cho vay dài hạn (Thuyết minh số 6),Mối quan hệ > Phải thu về cho vay dài hạn (Thuyết minh số 6),Giao dịch > Phải thu về cho vay dài hạn (Thuyết minh số 6),Số cuối năm > Phải thu về cho vay dài hạn (Thuyết minh số 6),Ngàn VND Số đầu năm > Phải thu về cho vay dài hạn (Thuyết minh số 6),numeric__Mối quan hệ > Phải thu về cho vay dài hạn (Thuyết minh số 6),numeric__Giao dịch > Phải thu về cho vay dài hạn (Thuyết minh số 6),numeric__Số cuối năm > Phải thu về cho vay dài hạn (Thuyết minh số 6),numeric__Ngàn VND Số đầu năm > Phải thu về cho vay dài hạn (Thuyết minh số 6)
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Bên liên quan,Cho vay mượn dài hạn,641.100.000,3.807.185.936,,,641100000.0,3807185936.0
Công ty Cổ phần Xây dựng Huynh Đê,Công ty Cổ phần Xây dựng Huynh Đê,Công ty Cổ phần Xây dựng Huynh Đê,Bên liên quan,Cho vay mượn dài hạn,14.651.980,-,,,14651980.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Cho vay mượn dài hạn,1.383.700.000,500.000.000,,,1383700000.0,500000000.0
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,Cho vay mượn dài hạn,697.320.000,-,,,697320000.0,
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Cho vay mượn dài hạn,872.438.488,500.000.000,,,872438488.0,500000000.0
Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty con,Cho vay mượn dài hạn,809.401.438,120.000.000,,,809401438.0,120000000.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Cho vay mượn dài hạn,1.030.376.353,452.870.953,,,1030376353.0,452870953.0
Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty con,Cho vay mượn dài hạn,205.817.797,-,,,205817797.0,
Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Cho vay mượn dài hạn,84.414.912,50.000.000,,,84414912.0,50000000.0
Công ty TNHH Khoáng sản Hoàng Anh GL - Kon Tum,Công ty TNHH Khoáng sản Hoàng Anh GL - Kon Tum,Công ty TNHH Khoáng sản Hoàng Anh GL - Kon Tum,Công ty con,Cho vay mượn dài hạn,49.672.286,-,,,49672286.0,
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty con,Cho vay mượn dài hạn,40.000.000,40.000.000,,,40000000.0,40000000.0
Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty con,Cho vay mượn dài hạn,24.682.417,-,,,24682417.0,
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Bên liên quan,Cho vay mượn dài hạn,54.140.387,-,,,54140387.0,
Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai,Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai,Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai,Công ty con,Cho vay mượn dài hạn,15.562.764,-,,,15562764.0,
Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,Công ty con,Cho vay mượn dài hạn,10.527.317,-,,,10527317.0,
Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Cho vay mượn dài hạn,10.478.216,-,,,10478216.0,
