row_label_raw,row_label_full,Các bên liên quan > Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Giao dịch > Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Ngân VND Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),numeric__Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),numeric__Giao dịch > Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),numeric__Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),numeric__Ngân VND Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2)
Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Nhận ứng trước hợp đồng xây dựng,308.227.665,-,,,308227665.0,
Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Nhận ứng trước tiền mua hàng hóa,42.057.022,-,,,42057022.0,
Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Nhận ứng trước tiền mua hàng hóa,144.818.384,108.559.742,,,144818384.0,108559742.0
Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Nhận ứng trước tiền mua hàng hóa,140.157.988,140.635.850,,,140157988.0,140635850.0
Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Nhận ứng trước tiền mua hàng hóa,98.159.761,41.418.762,,,98159761.0,41418762.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Nhận ứng trước tiền mua hàng hóa,81.461.947,95.999.755,,,81461947.0,95999755.0
Công ty TNHH Hoàng Anh An Đông Meas,Công ty TNHH Hoàng Anh An Đông Meas,Công ty TNHH Hoàng Anh An Đông Meas,Công ty con,Nhận ứng trước tiền mua hàng hóa,160.974.005,89.574.836,,,160974005.0,89574836.0
Công ty TNHH Hoàng Anh An Đông Meas,Công ty TNHH Hoàng Anh An Đông Meas,Công ty TNHH Hoàng Anh An Đông Meas,Công ty con,Nhận ứng trước hợp đồng xây dựng,-,5.440.930,,,,5440930.0
Công ty TNHH Hoàng Anh Lumphat,Công ty TNHH Hoàng Anh Lumphat,Công ty TNHH Hoàng Anh Lumphat,Công ty con,Nhận ứng trước tiền mua hàng hóa,35.619.991,-,,,35619991.0,
Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty con,Nhận ứng trước tiền mua hàng hóa,15.289.560,-,,,15289560.0,
Công ty TNHH Điện Hoàng Anh Attapeu,Công ty TNHH Điện Hoàng Anh Attapeu,Công ty TNHH Điện Hoàng Anh Attapeu,Công ty con,Nhận ứng trước hợp đồng xây dựng,35.952.110,84.398.603,,,35952110.0,84398603.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Nhận ứng trước tiền mua hàng hóa,1.026.391,-,,,1026391.0,
Công ty TNHH MTV Kinh doanh Xuất Nhập khấu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khấu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khấu Hoàng Anh Gia Lai,Công ty con,Nhận ứng trước tiền mua hàng hóa,2.647.413,-,,,2647413.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Nhận ứng trước hợp đồng xây dựng,251.804.508,250.460.000,,,251804508.0,250460000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,1.318.196.745,816.488.478,,,1318196745.0,816488478.0
