row_label_raw,row_label_full,Doanh thu bán hàng và cung cấpdịch vụ,1.124.061.774,(286.396),1.123.775.378,numeric__1.124.061.774,numeric__(286.396),numeric__1.123.775.378
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(1.239.187),286.396,(952.791),-1239187.0,286396.0,-952791.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,17.586.046,(14.646.369),2.939.677,17586046.0,-14646369.0,2939677.0
Chi phí khác,Chi phí khác,Chi phí khác,(18.998.743),14.646.369,(4.352.374),-18998743.0,14646369.0,-4352374.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(15.283.898),15.283.898,-,-15283898.0,15283898.0,
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,(992.467.281),(15.283.898),(1.007.751.179),-992467281.0,-15283898.0,-1007751179.0
