row_label_raw,row_label_full,"Tổ chức thu xếp phát hành > Công ty TNHH Chứng khoán ACB (""ACBS"") (i) > BIDV và Công ty TNHH Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam (""BSC"") (ii) > BIDV và BSC (iii) > BIDV và BSC (iv) > Công ty Cổ phần Chứng khoán Phú Gia (""PHUGIASC"") (v) > Công ty Chứng khoán Ngân hàng Việt Nam Thịnh Vương (""VPBS"") (vi) > BIDV và BSC (vii) > BIDV và BSC (viii) > Công ty Cổ phần Chứng khoán FPT (""FPTS"") và Ngân hàng TMCP Việt Nam Thịnh Vương (""VPB"") (ix)",Ngày phát hành > Ngày 25 tháng4 năm 2012 > Ngày 17 tháng8 năm 2015 > Ngày 9 tháng 7năm 2013 > Ngày 28 tháng3 năm 2014 > Ngày 1 tháng 4năm 2014 > Ngày 28 tháng11 năm 2014 > Ngày 31 tháng12 năm 2014 > Ngày 23 tháng7 năm 2015 > Ngày 27 tháng8 năm 2015,Số tiền > Ngàn VND > 1.760.450.342 > 850.000.000 > 950.000.000 > 1.000.000.000 > 650.000.000 > 1.000.000.000 > 2.150.000.000 > 600.000.000,Ngày đảo hạn > Từ ngày 27 tháng 4 năm2017 đến ngày18 tháng 6 năm2017 > Ngày 17 tháng8 năm 2020 > Ngày 9 tháng 7năm 2016 > Ngày 28 tháng3 năm 2019 > Ngày 1 tháng 4năm 2019 > Ngày 28 tháng11 năm 2017 > Ngày 31 tháng12 năm 2019 > Ngày 23 tháng7 năm 2020 > Từ ngày 27 tháng 8 năm2016 đến ngày27 tháng 2 năm2017,numeric__Ngày phát hành > Ngày 25 tháng4 năm 2012 > Ngày 17 tháng8 năm 2015 > Ngày 9 tháng 7năm 2013 > Ngày 28 tháng3 năm 2014 > Ngày 1 tháng 4năm 2014 > Ngày 28 tháng11 năm 2014 > Ngày 31 tháng12 năm 2014 > Ngày 23 tháng7 năm 2015 > Ngày 27 tháng8 năm 2015,numeric__Số tiền > Ngàn VND > 1.760.450.342 > 850.000.000 > 950.000.000 > 1.000.000.000 > 650.000.000 > 1.000.000.000 > 2.150.000.000 > 600.000.000,numeric__Ngày đảo hạn > Từ ngày 27 tháng 4 năm2017 đến ngày18 tháng 6 năm2017 > Ngày 17 tháng8 năm 2020 > Ngày 9 tháng 7năm 2016 > Ngày 28 tháng3 năm 2019 > Ngày 1 tháng 4năm 2019 > Ngày 28 tháng11 năm 2017 > Ngày 31 tháng12 năm 2019 > Ngày 23 tháng7 năm 2020 > Từ ngày 27 tháng 8 năm2016 đến ngày27 tháng 2 năm2017
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,,(91.595.674),,,-91595674.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,9.868.854.668,,,9868854668.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Vay dài hạn trái phiếu đến hạn trả,Trong đó: > Vay dài hạn trái phiếu đến hạn trả,Vay dài hạn trái phiếu đến hạn trả,,1.373.860.293,,,1373860293.0,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,,8.494.994.375,,,8494994375.0,
