row_label_raw,row_label_full,Mã số,KHOÂN MỤC,Thuyết minh,Năm nay,Năm trước,numeric__KHOÂN MỤC,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,22.1,2.466.948.513,1.123.775.378,,221.0,2466948513.0,1123775378.0
02,02,02,2. Các khoản giảm trừ doanh thu,22.1,(35.528),(952.791),,221.0,-35528.0,-952791.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,22.1,2.466.912.985,1.122.822.587,,221.0,2466912985.0,1122822587.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,23,(1.642.085.892),(833.424.952),,23.0,-1642085892.0,-833424952.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,824.827.093,289.397.635,,,824827093.0,289397635.0
21,21,21,6. Doanh thu hoạt động tài chính,22.2,1.131.708.297,1.134.865.695,,222.0,1131708297.0,1134865695.0
22,22,22,7. Chi phí tài chính,24,(1.219.097.775),(1.009.119.915),,24.0,-1219097775.0,-1009119915.0
23,23,23,Trong đó: Chi phí lãi vay,,(1.210.767.623),(1.007.751.179),,,-1210767623.0,-1007751179.0
25,25,25,8. Chi phí bán hàng,25,(42.109.481),(55.057.110),,25.0,-42109481.0,-55057110.0
26,26,26,9. Chi phí quản lý doanh nghiệp,25,(105.808.011),(103.194.723),,25.0,-105808011.0,-103194723.0
30,30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,589.520.123,256.891.582,,,589520123.0,256891582.0
31,31,31,11. Thu nhập khác,26,146.892.270,2.939.677,,26.0,146892270.0,2939677.0
32,32,32,12. Chi phí khác,26,(4.828.327),(4.352.374),,26.0,-4828327.0,-4352374.0
40,40,40,13. Lợi nhuận (lỗ) khác,26,142.063.943,(1.412.697),,26.0,142063943.0,-1412697.0
50,50,50,14. Tổng lợi nhuận kế toán trước thuế,,731.584.066,255.478.885,,,731584066.0,255478885.0
51,51,51,15. Chi phí thuế TNDN hiện hành,27.2,(143.359.944),(33.356.421),,272.0,-143359944.0,-33356421.0
52,52,52,16. Chi phí thuế TNDN hoãn lại,27.3,(5.635.824),,,273.0,-5635824.0,
60,60,60,17. Lợi nhuận sau thuế TNDN,,582.588.298,222.122.464,,,582588298.0,222122464.0
