row_label_raw,row_label_full,Công ty Cổ phần Đầu tưBất động sản An Phú,Bên liên quan,Lãi cho vay,551.031.737,274.768.154,numeric__Bên liên quan,numeric__Lãi cho vay,numeric__551.031.737,numeric__274.768.154
Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty con,Lãi cho vayChi trả hộ,118.351.0401.658.574,83.181.6171.582.674,,,1183510401658574.0,831816171582674.0
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,Lãi cho vayPhải thu ủy thác,14.548.178-,-68.932.500,,,,-68932500.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Chi trả hộ,119.689.030,43.613.585,,,119689030.0,43613585.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Lãi cho vayCho mượn tạmChi hộ,98.081.998-4.947.702,533.72018.682.495109.005,,,,5.337201868249511e+19
Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty con,Chi trả hộ,12.624.059,12.624.059,,,12624059.0,12624059.0
Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty con,Lãi cho vayChi trả hộ,19.726.8272.393.037,-57.584.004,,,197268272393037.0,-57584004.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Lãi cho vayChi trả hộ,6.718.213-,4.787.500879.961,,,,4787500879961.0
