row_label_raw,row_label_full,Công ty TNHH Míađường Hoàng AnhAttapeu,Công ty con,Ứng trước mua hàng hóa,99.063.338,col_4,numeric__Công ty con,numeric__Ứng trước mua hàng hóa,numeric__99.063.338,numeric__col_4
Công ty Cổ phần Chănnuôi Gia Lai,Công ty Cổ phần Chănnuôi Gia Lai,Công ty Cổ phần Chănnuôi Gia Lai,Bên liên quan,Ứng trước mua hàng hóa,4.000.000,,,,4000000.0,
Công ty Cổ phần Thểthao Hoàng Anh Gia Lai,Công ty Cổ phần Thểthao Hoàng Anh Gia Lai,Công ty Cổ phần Thểthao Hoàng Anh Gia Lai,Công ty con,Ứng trước cho dịch vụ quảng cáo,-,94.568.620,,,,94568620.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,103.063.338,94.568.620,,,103063338.0,94568620.0
