row_label_raw,row_label_full,Thuế giá trị gia tăng > Thuế thu nhập doanh nghiệp (Thuyết minh số 27.2),Số đầu năm > 689.451 > 17.447.084,Số thuần phải nộp trong năm > 91.228.289 > 143.359.944,Số đã nộp trong năm > 72.632.368 > 95.621.975,Ngàn VND > Số cuối năm > 19.285.372 > 65.185.053,numeric__Số đầu năm > 689.451 > 17.447.084,numeric__Số thuần phải nộp trong năm > 91.228.289 > 143.359.944,numeric__Số đã nộp trong năm > 72.632.368 > 95.621.975,numeric__Ngàn VND > Số cuối năm > 19.285.372 > 65.185.053
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.088.733,6.528.178,7.443.591,173.320,1088733.0,6528178.0,7443591.0,173320.0
Thuế và các khoản phải nộp khác cho Nhà nước,Thuế và các khoản phải nộp khác cho Nhà nước,Thuế và các khoản phải nộp khác cho Nhà nước,4.939,31.512.129,642.412,30.874.656,4939.0,31512129.0,642412.0,30874656.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,19.230.207,272.628.540,176.340.346,115.518.401,19230207.0,272628540.0,176340346.0,115518401.0
