row_label_raw,row_label_full,Các bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),Giao dịch > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),Ngàn VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),numeric__Giao dịch > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),numeric__Ngàn VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1)
Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty con,Phải thu chuyển nhượng cố phần HNG,162.074.164,-,,,162074164.0,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Bán hàng hóa và cung cấp dịch vụ,27.857.769,8.159.182,,,27857769.0,8159182.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Phải thu hợp đồng xây dựng,709.706,13.195.607,,,709706.0,13195607.0
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Bên liên quan,Phải thu thanh lý đầu tư,-,48.091.600,,,,48091600.0
Công ty TNHH Điền Hoàng Anh Attapeu,Công ty TNHH Điền Hoàng Anh Attapeu,Công ty TNHH Điền Hoàng Anh Attapeu,Công ty con,Bán hàng hóa và cung cấp dịch vụ,1.010,5.469.715,,,1010.0,5469715.0
Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Phải thu hợp đồng xây dựng,31.234.877,-,,,31234877.0,
Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Bán hàng hóa và cung cấp dịch vụ,18.026,-,,,18026.0,
Công ty TNHH Hoàng Anh An Đông Meas,Công ty TNHH Hoàng Anh An Đông Meas,Công ty TNHH Hoàng Anh An Đông Meas,Công ty con,Bán hàng hóa Phải thu hợp đồng xây dựng,24.796.770,-,,,24796770.0,
Công ty TNHH Hoàng Anh An Đông Meas,Công ty TNHH Hoàng Anh An Đông Meas,Công ty TNHH Hoàng Anh An Đông Meas,Công ty con,Bán hàng hóa Phải thu hợp đồng xây dựng,-,7.304.082,,,,7304082.0
Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty con,Bán hàng hóa Phải thu hợp đồng xây dựng,1.902.622,2.681.423,,,1902622.0,2681423.0
Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty con,Bán hàng hóa Phải thu hợp đồng xây dựng,2.691.319,13.322.294,,,2691319.0,13322294.0
Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,Công ty con,Phải thu hợp đồng xây dựng,-,7.528.261,,,,7528261.0
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Bên liên quan,Bán hàng hóa và cung cấp dịch vụ,-,7.849.676,,,,7849676.0
Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty con,Phải thu hợp đồng xây dựng,5.854.647,5.957.053,,,5854647.0,5957053.0
Công ty TNHH Thương mại và Dịch vụ Trúc Thịnh,Công ty TNHH Thương mại và Dịch vụ Trúc Thịnh,Công ty TNHH Thương mại và Dịch vụ Trúc Thịnh,Bên liên quan,Bán hàng hóa và cung cấp dịch vụ,-,4.173.740,,,,4173740.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Bán hàng hóa Phải thu hợp đồng xây dựng,22.859.000,-,,,22859000.0,
Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Bán hàng hóa Phải thu hợp đồng xây dựng,721.000,-,,,721000.0,
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Bán hàng hóa và cung cấp dịch vụ,27.335,48.671.743,,,27335.0,48671743.0
