row_label_raw,row_label_full,Các bên liên quan > Phải trả ngắn hạn khác (Thuyết minh số 19) (tiếp theo),Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 19) (tiếp theo),Giao dịch > Phải trả ngắn hạn khác (Thuyết minh số 19) (tiếp theo),Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 19) (tiếp theo),Ngàn VND Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 19) (tiếp theo),numeric__Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 19) (tiếp theo),numeric__Giao dịch > Phải trả ngắn hạn khác (Thuyết minh số 19) (tiếp theo),numeric__Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 19) (tiếp theo),numeric__Ngàn VND Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 19) (tiếp theo)
Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty con,Chi trả hộ,1.011.164,-,,,1011164.0,
Công ty TNHH V&H Corporation (Lào),Công ty TNHH V&H Corporation (Lào),Công ty TNHH V&H Corporation (Lào),Công ty con,Chi trả hộ,3.323.700,-,,,3323700.0,
Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Bên liên quan,Chi trả hộ,272.700,272.700,,,272700.0,272700.0
Công ty Cổ phần Dịch vụ Quản lý Bất động sản Hoàng Anh,Công ty Cổ phần Dịch vụ Quản lý Bất động sản Hoàng Anh,Công ty Cổ phần Dịch vụ Quản lý Bất động sản Hoàng Anh,Bên liên quan,Chi trả hộ,221.788,,,,221788.0,
Các công ty khác,Các công ty khác,Các công ty khác,Các bên liên quan,Chi trả hộ,253.596,-,,,253596.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,195.906.802,849.383.539,,,195906802.0,849383539.0
