row_label_raw,row_label_full,Giá trị các căn hộ đang xây để bán (i),Số cuối năm > 107.646.457,Ngân VND Số đầu năm > 206.774.904,numeric__Số cuối năm > 107.646.457,numeric__Ngân VND Số đầu năm > 206.774.904
Thành phẩm,Thành phẩm,Thành phẩm,7.771.786,12.617.847,7771786.0,12617847.0
Hàng hóa (ii),Hàng hóa (ii),Hàng hóa (ii),52.386.134,17.740.810,52386134.0,17740810.0
"Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang",34.079.331,55.012.072,34079331.0,55012072.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hoạt động sản xuất,Trong đó: > Hoạt động sản xuất,Hoạt động sản xuất,23.345.211,13.599.322,23345211.0,13599322.0
Hợp đồng xây dựng,Trong đó: > Hợp đồng xây dựng,Hợp đồng xây dựng,10.529.097,41.376.750,10529097.0,41376750.0
Cung cấp dịch vụ,Trong đó: > Cung cấp dịch vụ,Cung cấp dịch vụ,205.023,36.000,205023.0,36000.0
Nguyên vật liệu,Trong đó: > Nguyên vật liệu,Nguyên vật liệu,276.675,9.024.930,276675.0,9024930.0
Vật liệu xây dựng,Trong đó: > Vật liệu xây dựng,Vật liệu xây dựng,3.885.058,7.285.010,3885058.0,7285010.0
"Công cụ, dụng cụ","Trong đó: > Công cụ, dụng cụ","Công cụ, dụng cụ",59.377,610.268,59377.0,610268.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,206.104.818,309.065.841,206104818.0,309065841.0
