row_label_raw,row_label_full,Các bên liên quan > Các khoản phải thu ngắn hạn khác (Thuyết minh số 7) (tiếp theo),Môi quan hệ > Các khoản phải thu ngắn hạn khác (Thuyết minh số 7) (tiếp theo),Giao dịch > Các khoản phải thu ngắn hạn khác (Thuyết minh số 7) (tiếp theo),Số cuối năm > Các khoản phải thu ngắn hạn khác (Thuyết minh số 7) (tiếp theo),Ngàn VND Số đầu năm > Các khoản phải thu ngắn hạn khác (Thuyết minh số 7) (tiếp theo),numeric__Môi quan hệ > Các khoản phải thu ngắn hạn khác (Thuyết minh số 7) (tiếp theo),numeric__Giao dịch > Các khoản phải thu ngắn hạn khác (Thuyết minh số 7) (tiếp theo),numeric__Số cuối năm > Các khoản phải thu ngắn hạn khác (Thuyết minh số 7) (tiếp theo),numeric__Ngàn VND Số đầu năm > Các khoản phải thu ngắn hạn khác (Thuyết minh số 7) (tiếp theo)
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty con,Lãi cho vayChi trả hộ,5.677.778459.949,-,,,5677778459949.0,
Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty con,Chi trả hộ,219.889.219,1.558.400,,,219889219.0,1558400.0
Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Chi trả hộ,-,9.883.128,,,,9883128.0
Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Chi trả hộ,-,7.031.539,,,,7031539.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Lãi cho vayCổ tứcChi trả hộ,54.759.771-1.457.388,104.048.39983.091.16044.116.616,,,,1.040483998309116e+24
Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty con,Lãi cho vay,-,82.995.410,,,,82995410.0
Công ty TNHH Điện Hoàng Anh Attapeu,Công ty TNHH Điện Hoàng Anh Attapeu,Công ty TNHH Điện Hoàng Anh Attapeu,Công ty con,Chi trả hộ,61.296.637,-,,,61296637.0,
Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Lãi cho vayKhác,22.144.06029.400,-,,,2214406029400.0,
Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty con,Lãi cho vay,4.087.500,-,,,4087500.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Lãi cho vayKhác,33.198.40084.138,-,,,3319840084138.0,
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Bên liên quan,Lãi cho vay,2.492.768,-,,,2492768.0,
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Bên liên quan,Lãi cho vayChi trả hộ,113.229.3752.440.389,84.485.625,,,1132293752440389.0,84485625.0
Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Bên liên quan,Lãi cho vay,11.560.694,3.895.451,,,11560694.0,3895451.0
Ông Phan Thanh Thủ,Ông Phan Thanh Thủ,Ông Phan Thanh Thủ,Thành viên HĐQT,Tạm ứng,1.600.000,1.900.000,,,1600000.0,1900000.0
Các công ty khác,Các công ty khác,Các công ty khác,Bên liên quan,Các khoản khác,1.854.358,3.147.265,,,1854358.0,3147265.0
,,,,,1.486.032.219,993.432.267,,,1486032219.0,993432267.0
