row_label_raw,row_label_full,Các bên liên quan > Phải trả cho người bán ngắn hạn (Thuyết minh số 16.1),Mối quan hệ > Phải trả cho người bán ngắn hạn (Thuyết minh số 16.1),Giao dịch > Phải trả cho người bán ngắn hạn (Thuyết minh số 16.1),Số cuối năm > Phải trả cho người bán ngắn hạn (Thuyết minh số 16.1),Ngàn VND Số đầu năm > Phải trả cho người bán ngắn hạn (Thuyết minh số 16.1),numeric__Mối quan hệ > Phải trả cho người bán ngắn hạn (Thuyết minh số 16.1),numeric__Giao dịch > Phải trả cho người bán ngắn hạn (Thuyết minh số 16.1),numeric__Số cuối năm > Phải trả cho người bán ngắn hạn (Thuyết minh số 16.1),numeric__Ngàn VND Số đầu năm > Phải trả cho người bán ngắn hạn (Thuyết minh số 16.1)
Công ty TNHH MTV Kinh doanh Xuất Nhập khấu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khấu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khấu Hoàng Anh Gia Lai,Công ty con,Mua hàng hóa và cung cấp dịch vụ,9.169.704,3.525.203,,,9169704.0,3525203.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Mua hàng hóa,9.108.189,-,,,9108189.0,
Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty con,Mua hàng hóa,808.520,808.520,,,808520.0,808520.0
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Phải trả phát triển vườn cây,16.175.109,-,,,16175109.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Mua hàng hóa và cung cấp dịch vụ,9.220.312,-,,,9220312.0,
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty con,Cung cấp dịch vụ,661.817,163.343,,,661817.0,163343.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Mua hàng hóa,772.802,833.948,,,772802.0,833948.0
Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Bên liên quan,Phải trả phát triển vườn cây,60.549.000,-,,,60549000.0,
Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Bên liên quan,Mua hàng hóa và cung cấp dịch vụ,1.540.887,62.499,,,1540887.0,62499.0
Các công ty khác,Các công ty khác,Các công ty khác,Bên liên quan,Các khoản khác,11.504,2.546.448,,,11504.0,2546448.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,108.017.844,7.939.961,,,108017844.0,7939961.0
