row_label_raw,row_label_full,Công ty Cổ phần Cao su Trung Nguyên,Bên liên quan,Phải thu hợp đồng xây dựng Bán hàng hóa và cung cấp dịch vụ,957,9.094.557,numeric__Bên liên quan,numeric__Phải thu hợp đồng xây dựng Bán hàng hóa và cung cấp dịch vụ,numeric__957,numeric__9.094.557
Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Bên liên quan,Phải thu hợp đồng xây dựng Bán hàng hóa và cung cấp dịch vụ,-,2.657.184,,,,2657184.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Bán hàng hóa,27.106.725,-,,,27106725.0,
Công ty TNHH Daun Penh Agrico,Công ty TNHH Daun Penh Agrico,Công ty TNHH Daun Penh Agrico,Công ty con,Bán hàng hóa,6.532.534,-,,,6532534.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Phải thu hợp đồng xây dựng Phải thu cung cấp dịch vụ,24.059.702,9.011.309,,,24059702.0,9011309.0
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Phải thu hợp đồng xây dựng Phải thu cung cấp dịch vụ,379.629,-,,,379629.0,
Các công ty khác,Các công ty khác,Các công ty khác,Bên liên quan,Các khoản khác,2.017.205,2.084.940,,,2017205.0,2084940.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,340.844.997,195.252.366,,,340844997.0,195252366.0
