row_label_raw,row_label_full,Các bên liên quan > Phải thu về cho vay dài hạn (Thuyết minh số 6) (tiếp theo),Mối quan hệ > Phải thu về cho vay dài hạn (Thuyết minh số 6) (tiếp theo),Giao dịch > Phải thu về cho vay dài hạn (Thuyết minh số 6) (tiếp theo),Số cuối năm > Phải thu về cho vay dài hạn (Thuyết minh số 6) (tiếp theo),Ngàn VND Số đầu năm > Phải thu về cho vay dài hạn (Thuyết minh số 6) (tiếp theo),numeric__Mối quan hệ > Phải thu về cho vay dài hạn (Thuyết minh số 6) (tiếp theo),numeric__Giao dịch > Phải thu về cho vay dài hạn (Thuyết minh số 6) (tiếp theo),numeric__Số cuối năm > Phải thu về cho vay dài hạn (Thuyết minh số 6) (tiếp theo),numeric__Ngàn VND Số đầu năm > Phải thu về cho vay dài hạn (Thuyết minh số 6) (tiếp theo)
Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Cho vay mượn dài hạn,7.454.925,-,,,7454925.0,
Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty con,Cho vay mượn dài hạn,1.587.741,569.000.000,,,1587741.0,569000000.0
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Bên liên quan,Cho vay mượn dài hạn,221.000.000,189.000.000,,,221000000.0,189000000.0
Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Cho vay mượn dài hạn,600.000.000,-,,,600000000.0,
Công ty TNHH Khoáng sản Hoàng Anh Xê Kông,Công ty TNHH Khoáng sản Hoàng Anh Xê Kông,Công ty TNHH Khoáng sản Hoàng Anh Xê Kông,Công ty con,Cho vay mượn dài hạn,507.206,-,,,507206.0,
Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Bên liên quan,Cho vay mượn dài hạn,-,350.000.000,,,,350000000.0
Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty con,Cho vay mượn dài hạn,295.000.000,-,,,295000000.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Bên liên quan,Cho vay mượn dài hạn,116.568.196,-,,,116568196.0,
TỔNG CỘNG (*),TỔNG CỘNG (*),TỔNG CỘNG (*),,,7.186.402.423,6.578.056.889,,,7186402423.0,6578056889.0
