row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,731.584.066,255.478.885,731584066.0,255478885.0
Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán,,,,
Các khoản phạt,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Các khoản phạt,Các khoản phạt,1.375.065,2.489.381,1375065.0,2489381.0
Các chi phí không được khấu trừ,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Các chi phí không được khấu trừ,Các chi phí không được khấu trừ,13.198.092,16.502.664,13198092.0,16502664.0
Thu nhập cổ tức,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Thu nhập cổ tức,Thu nhập cổ tức,(659.966),(116.487.639),-659966.0,-116487639.0
Lãi chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Lãi chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(28.179.120),(6.363.197),-28179120.0,-6363197.0
Khác,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Khác,Khác,(58.227.473),-,-58227473.0,
Lợi nhuận chịu thuế ước tính,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Lợi nhuận chịu thuế ước tính,Lợi nhuận chịu thuế ước tính,659.090.664,151.620.094,659090664.0,151620094.0
Thuế TNDN hiện hành ước tính,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Thuế TNDN hiện hành ước tính,Thuế TNDN hiện hành ước tính,144.999.946,33.356.421,144999946.0,33356421.0
Điều chỉnh thuế TNDN trích thừa trong năm trước,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Điều chỉnh thuế TNDN trích thừa trong năm trước,Điều chỉnh thuế TNDN trích thừa trong năm trước,(1.640.002),-,-1640002.0,
Chi phí thuế TNDN hiện hành ước tính trong năm,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Chi phí thuế TNDN hiện hành ước tính trong năm,Chi phí thuế TNDN hiện hành ước tính trong năm,143.359.944,33.356.421,143359944.0,33356421.0
Thuế TNDN phải trả đầu năm,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,17.447.084,35.091.960,17447084.0,35091960.0
Thuế TNDN đã trả trong năm,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(95.621.975),(51.001.297),-95621975.0,-51001297.0
Thuế TNDN phải trả cuối năm(Thuyết minh số 17),Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Thuế TNDN phải trả cuối năm(Thuyết minh số 17),Thuế TNDN phải trả cuối năm(Thuyết minh số 17),65.185.053,17.447.084,65185053.0,17447084.0
