row_label_raw,row_label_full,Trái phiếu thưởng trong nước(Thuyết minh số 20.4.1) > Trái phiếu hoán đổi (Thuyết minh số 20.4.2),Số cuối năm > 9.868.854.668 > 1.130.000.000,Ngàn VND Số đầu năm > 6.398.579.830 > 1.130.000.000,numeric__Số cuối năm > 9.868.854.668 > 1.130.000.000,numeric__Ngàn VND Số đầu năm > 6.398.579.830 > 1.130.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.998.854.668,7.528.579.830,10998854668.0,7528579830.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn trái phiếu đến hạn trả,Trong đó: > Vay dài hạn trái phiếu đến hạn trả,Vay dài hạn trái phiếu đến hạn trả,2.503.860.293,1.980.000.000,2503860293.0,1980000000.0
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,8.494.994.375,5.548.579.830,8494994375.0,5548579830.0
