row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Lợi nhuận sau thuế chưa phân phối,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,7.181.546.930,3.544.438.784,-,8.622.737,230.027.423,551.721.939,11.516.357.813,7181546930.0,3544438784.0,,8622737.0,230027423.0,551721939.0,11516357813.0
Lợi nhuận trong năm,Năm trước > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,222.122.464,222.122.464,,,,,,222122464.0,222122464.0
Trích lập các quỹ (i),Năm trước > Trích lập các quỹ (i),Trích lập các quỹ (i),-,-,-,-,11.106.123,(17.769.797),(6.663.674),,,,,11106123.0,-17769797.0,-6663674.0
"Thủ lao cho Hội đồng Quản trị, Ban Kiểm soát và Ban Thư ký","Năm trước > Thủ lao cho Hội đồng Quản trị, Ban Kiểm soát và Ban Thư ký","Thủ lao cho Hội đồng Quản trị, Ban Kiểm soát và Ban Thư ký",-,-,-,-,-,(10.383.802),(10.383.802),,,,,,-10383802.0,-10383802.0
Chi cổ tức bằng cổ phiếu (*),Năm trước > Chi cổ tức bằng cổ phiếu (*),Chi cổ tức bằng cổ phiếu (*),718.132.540,-,-,-,-,(718.132.540),-,718132540.0,,,,,-718132540.0,
Thu hồi cổ phiếu ESOP làm cổ phiếu quỹ,Năm trước > Thu hồi cổ phiếu ESOP làm cổ phiếu quỹ,Thu hồi cổ phiếu ESOP làm cổ phiếu quỹ,-,-,(686.640),-,-,-,(686.640),,,-686640.0,,,,-686640.0
Thuế GTGT không được khấu trừ của chi phí phát hành cổ phiếu,Năm trước > Thuế GTGT không được khấu trừ của chi phí phát hành cổ phiếu,Thuế GTGT không được khấu trừ của chi phí phát hành cổ phiếu,-,(5.360.000),-,-,-,-,(5.360.000),,-5360000.0,,,,,-5360000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,7.899.679.470,3.539.078.784,(686.640),8.622.737,241.133.546,27.558.264,11.715.386.161,7899679470.0,3539078784.0,-686640.0,8622737.0,241133546.0,27558264.0,11715386161.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm (đã được trình bày trước đây),Năm nay > Số đầu năm (đã được trình bày trước đây),Số đầu năm (đã được trình bày trước đây),7.899.679.470,3.539.078.784,(686.640),8.622.737,241.133.546,27.558.264,11.715.386.161,7899679470.0,3539078784.0,-686640.0,8622737.0,241133546.0,27558264.0,11715386161.0
Trình bày lại (Thuyết minh số 31),Năm nay > Trình bày lại (Thuyết minh số 31),Trình bày lại (Thuyết minh số 31),-,-,-,241.133.546,(241.133.546),-,-,,,,241133546.0,-241133546.0,,
Số đầu năm (được trình bày lại),Năm nay > Số đầu năm (được trình bày lại),Số đầu năm (được trình bày lại),7.899.679.470,3.539.078.784,(686.640),249.756.283,-,27.558.264,11.715.386.161,7899679470.0,3539078784.0,-686640.0,249756283.0,,27558264.0,11715386161.0
Lợi nhuận thuần trong kỳ,Năm nay > Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,-,-,-,-,-,582.588.298,582.588.298,,,,,,582588298.0,582588298.0
Trích lập các quỹ (i),Năm nay > Trích lập các quỹ (i),Trích lập các quỹ (i),-,-,-,30.139.020,-,(48.222.432),(18.083.412),,,,30139020.0,,-48222432.0,-18083412.0
"Thủ lao cho Hội đồng Quản trị, Ban Kiểm soát và Ban Thư ký","Năm nay > Thủ lao cho Hội đồng Quản trị, Ban Kiểm soát và Ban Thư ký","Thủ lao cho Hội đồng Quản trị, Ban Kiểm soát và Ban Thư ký",-,-,-,-,-,(737.400),(737.400),,,,,,-737400.0,-737400.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,7.899.679.470,3.539.078.784,(686.640),279.895.303,-,561.186.730,12.279.153.647,7899679470.0,3539078784.0,-686640.0,279895303.0,,561186730.0,12279153647.0
