row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu lãi cho vay,Ngắn hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,1.148.191.061,718.863.275,1148191061.0,718863275.0
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,4.725.529,16.434.079,4725529.0,16434079.0
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,433.547.435,364.309.425,433547435.0,364309425.0
,,,1.586.464.025,1.099.606.779,1586464025.0,1099606779.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Phải thu về hợp đồng hợp tác kinh doanh (""BCC"") (i)","Dài hạn > Phải thu về hợp đồng hợp tác kinh doanh (""BCC"") (i)","Phải thu về hợp đồng hợp tác kinh doanh (""BCC"") (i)",307.266.100,219.554.100,307266100.0,219554100.0
"Ký quỹ, ký cược dài hạn","Dài hạn > Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",514.680,467.560,514680.0,467560.0
,,,307.780.780,220.021.660,307780780.0,220021660.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.894.244.805,1.319.628.439,1894244805.0,1319628439.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác các bên liên quan(Thuyết minh số 28),Trong đó: > Phải thu khác các bên liên quan(Thuyết minh số 28),Phải thu khác các bên liên quan(Thuyết minh số 28),1.793.298.319,1.212.986.367,1793298319.0,1212986367.0
Phải thu các bên khác,Trong đó: > Phải thu các bên khác,Phải thu các bên khác,100.946.486,106.642.072,100946486.0,106642072.0
