row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,"Phương tiệnvận tải,truyền dẫn",Thiết bịvăn phòng,Vườn câylâu năm,Tài sảnkhác,Ngàn VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,"numeric__Phương tiệnvận tải,truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Vườn câylâu năm,numeric__Tài sảnkhác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,387.771.139,61.184.757,28.147.999,4.057.151,6.689.440,1.681.793,489.532.279,387771139.0,61184757.0,28147999.0,4057151.0,6689440.0,1681793.0,489532279.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.688.319,14.484.163,529.012,-,-,16.701.494,,1688319.0,14484163.0,529012.0,,,16701494.0
Chuyển từ chi phí xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang,Chuyển từ chi phí xây dựng cơ bảnđở dang,1.007.878,-,-,-,-,-,1.007.878,1007878.0,,,,,,1007878.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(149.982.223),(19.906.112),(13.353.063),(1.277.944),-,(1.573.733),(186.093.075),-149982223.0,-19906112.0,-13353063.0,-1277944.0,,-1573733.0,-186093075.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,238.796.794,42.966.964,29.279.099,3.308.219,6.689.440,108.060,321.148.576,238796794.0,42966964.0,29279099.0,3308219.0,6689440.0,108060.0,321148576.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,61.445.897,25.721.261,15.529.487,2.664.536,3.811.740,1.123.461,110.296.382,61445897.0,25721261.0,15529487.0,2664536.0,3811740.0,1123461.0,110296382.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,8.106.139,4.658.074,3.538.022,432.707,959.234,18.010,17.712.186,8106139.0,4658074.0,3538022.0,432707.0,959234.0,18010.0,17712186.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,(25.099.816),(11.292.296),(1.968.081),(1.041.615),-,(1.118.958),(40.520.766),-25099816.0,-11292296.0,-1968081.0,-1041615.0,,-1118958.0,-40520766.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,44.452.220,19.087.039,17.099.428,2.055.628,4.770.974,22.513,87.487.802,44452220.0,19087039.0,17099428.0,2055628.0,4770974.0,22513.0,87487802.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,326.325.242,35.463.496,12.618.512,1.392.615,2.877.700,558.332,379.235.897,326325242.0,35463496.0,12618512.0,1392615.0,2877700.0,558332.0,379235897.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,194.344.574,23.879.925,12.179.671,1.252.591,1.918.466,85.547,233.660.774,194344574.0,23879925.0,12179671.0,1252591.0,1918466.0,85547.0,233660774.0
Trong đó:The chập/cảm cố đề đảm bảo chocác khoản vay của công ty conĐã khấu hao hết,Giá trị còn lại > Trong đó:The chập/cảm cố đề đảm bảo chocác khoản vay của công ty conĐã khấu hao hết,Trong đó:The chập/cảm cố đề đảm bảo chocác khoản vay của công ty conĐã khấu hao hết,194.344.574,23.879.925,-,-,1.918.466,-,220.142.965,194344574.0,23879925.0,,,1918466.0,,220142965.0
Trong đó:The chập/cảm cố đề đảm bảo chocác khoản vay của công ty conĐã khấu hao hết,Giá trị còn lại > Trong đó:The chập/cảm cố đề đảm bảo chocác khoản vay của công ty conĐã khấu hao hết,Trong đó:The chập/cảm cố đề đảm bảo chocác khoản vay của công ty conĐã khấu hao hết,-,659.806,491.832,375.586,-,-,1.527.224,,659806.0,491832.0,375586.0,,,1527224.0
