row_label_raw,row_label_full,Đầu tư ngắn hạn,81.783.240,(81.783.240),col_3,numeric__81.783.240,numeric__(81.783.240),numeric__col_3
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,16.434.079,65.349.161,81.783.240,16434079.0,65349161.0,81783240.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,4.921.139.268,(3.821.532.489),1.099.606.779,4921139268.0,-3821532489.0,1099606779.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,216.819.471,160.107.600,376.927.071,216819471.0,160107600.0,376927071.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,-,2.605.187.503,2.605.187.503,,2605187503.0,2605187503.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,54.069.964,(38.284.538),15.785.426,54069964.0,-38284538.0,15785426.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,(5.619.159.241),38.284.538,(5.580.874.703),-5619159241.0,38284538.0,-5580874703.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,828.317.509,(796.321.221),31.996.288,828317509.0,-796321221.0,31996288.0
Nguyên giá bất động sản đầu tư,Nguyên giá bất động sản đầu tư,Nguyên giá bất động sản đầu tư,15.001.180,81.183.514,96.184.694,15001180.0,81183514.0,96184694.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,7.971.021.244,7.971.021.244,,7971021244.0,7971021244.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,6.333.833.672,(6.113.812.012),220.021.660,6333833672.0,-6113812012.0,220021660.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,8.622.737,241.133.546,249.756.283,8622737.0,241133546.0,249756283.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,241.133.546,(241.133.546),,241133546.0,-241133546.0,
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,7.983.345,(6.598.249),1.385.096,7983345.0,-6598249.0,1385096.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,-,6.598.249,6.598.249,,6598249.0,6598249.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,467.560,(467.560),,467560.0,-467560.0,
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,220.714.082,(68.932.500),151.781.582,220714082.0,-68932500.0,151781582.0
,,,,,Ngân VND,,,
,,,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014(dã được trình bàytrước đây),Trình bày lại,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014(được trình bày lại),,,
