row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho vay ngắn hạn các bên liên quan(Thuyết minh số 28),Ngắn hạn > Cho vay ngắn hạn các bên liên quan(Thuyết minh số 28),Cho vay ngắn hạn các bên liên quan(Thuyết minh số 28),4.652.017.152,2.341.358.634,4652017152.0,2341358634.0
"Trong đó:Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)","Ngắn hạn > Trong đó:Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)","Trong đó:Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)",2.860.085.936,-,2860085936.0,
Cho vay ngắn hạn các bên liên quan khác (ii),Ngắn hạn > Cho vay ngắn hạn các bên liên quan khác (ii),Cho vay ngắn hạn các bên liên quan khác (ii),1.791.931.216,2.341.358.634,1791931216.0,2341358634.0
Cho vay ngắn hạn nhân viên,Ngắn hạn > Cho vay ngắn hạn nhân viên,Cho vay ngắn hạn nhân viên,-,205.232.912,,205232912.0
Cho vay ngắn hạn các công ty,Ngắn hạn > Cho vay ngắn hạn các công ty,Cho vay ngắn hạn các công ty,-,31.106.969,,31106969.0
Cho vay ngắn hạn Chính phủ Lào - Làng vậnđộng viên SeaGames,Ngắn hạn > Cho vay ngắn hạn Chính phủ Lào - Làng vậnđộng viên SeaGames,Cho vay ngắn hạn Chính phủ Lào - Làng vậnđộng viên SeaGames,-,27.488.988,,27488988.0
,,,4.652.017.152,2.605.187.503,4652017152.0,2605187503.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Cho vay dài hạn hạn các công ty (iii),Dải hạn > Cho vay dài hạn hạn các công ty (iii),Cho vay dài hạn hạn các công ty (iii),710.330.064,924.869.736,710330064.0,924869736.0
Cho vay dài hạn các bên liên quan(Thuyết minh số 28),Dải hạn > Cho vay dài hạn các bên liên quan(Thuyết minh số 28),Cho vay dài hạn các bên liên quan(Thuyết minh số 28),7.186.402.423,6.578.056.889,7186402423.0,6578056889.0
"Trong đó:Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)","Dải hạn > Trong đó:Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)","Trong đó:Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)",641.100.000,3.807.185.936,641100000.0,3807185936.0
Cho vay Ông Đoàn Nguyên Đức – Chủ tịchHội đồng Quản trị (iv),Dải hạn > Cho vay Ông Đoàn Nguyên Đức – Chủ tịchHội đồng Quản trị (iv),Cho vay Ông Đoàn Nguyên Đức – Chủ tịchHội đồng Quản trị (iv),697.320.000,-,697320000.0,
Cho vay dài hạn các bên liên quan khác (ii),Dải hạn > Cho vay dài hạn các bên liên quan khác (ii),Cho vay dài hạn các bên liên quan khác (ii),5.847.982.423,2.770.870.953,5847982423.0,2770870953.0
Cho vay dài hạn Chính phủ Lào – Dự án sânbay quốc tế Attapeu (v),Dải hạn > Cho vay dài hạn Chính phủ Lào – Dự án sânbay quốc tế Attapeu (v),Cho vay dài hạn Chính phủ Lào – Dự án sânbay quốc tế Attapeu (v),167.980.345,468.094.619,167980345.0,468094619.0
Cho vay dài hạn nhân viên,Dải hạn > Cho vay dài hạn nhân viên,Cho vay dài hạn nhân viên,1.328.500,-,1328500.0,
,,,8.066.041.332,7.971.021.244,8066041332.0,7971021244.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,12.718.058.484,10.576.208.747,12718058484.0,10576208747.0
