row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,Từ ngày 01/01/2020 đến ngày 31/12/2020 > VND,Từ ngày 01/01/2019 đến ngày 31/12/2019 > VND,numeric__Thuyết minh,numeric__Từ ngày 01/01/2020 đến ngày 31/12/2020 > VND,numeric__Từ ngày 01/01/2019 đến ngày 31/12/2019 > VND
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,25,16.585.374.344.953,16.826.541.713.228,25.0,16585374344953.0,16826541713228.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,26,32.523.059.030,15.312.969.286,26.0,32523059030.0,15312969286.0
3. Doanh thu thuần bán hàng và cung cấp dịch vụ,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,16.552.851.285.923,16.811.228.743.942,,16552851285923.0,16811228743942.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,27,15.559.303.110.083,15.338.254.874.346,27.0,15559303110083.0,15338254874346.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,993.548.175.840,1.472.973.869.596,,993548175840.0,1472973869596.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,28,95.628.922.532,57.330.143.421,28.0,95628922532.0,57330143421.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,29,177.672.197.244,222.267.434.148,29.0,177672197244.0,222267434148.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,,114.239.406.557,176.673.267.377,,114239406557.0,176673267377.0
"8. Phản lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phản lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phản lãi hoặc lỗ trong công ty liên doanh, liên kết",,6.557.016.557,8.979.871.252,,6557016557.0,8979871252.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,30,700.091.195.552,1.100.857.189.436,30.0,700091195552.0,1100857189436.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,31,409.411.184.851,397.709.214.888,31.0,409411184851.0,397709214888.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,,(191.440.462.718) √,(181.549.954.203),,,-181549954203.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,32,71.275.274.138,96.223.552.242,32.0,71275274138.0,96223552242.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,33,89.944.150.051,58.075.399.162,33.0,89944150051.0,58075399162.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,,(18.668.875.913),38.148.153.080,,-18668875913.0,38148153080.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,,(210.109.338.631),(143.401.801.123),,-210109338631.0,-143401801123.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,,21.002.940.476,20.851.847.855,,21002940476.0,20851847855.0
17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,,7.835.340.209,5.280.040.073,,7835340209.0,5280040073.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,(238.947.619.316) √,(169.533.689.051),,,-169533689051.0
19. Lợi nhuận sau thuế của Công ty mẹ,19. Lợi nhuận sau thuế của Công ty mẹ,19. Lợi nhuận sau thuế của Công ty mẹ,,(245.996.577.067),(204.333.295.933),,-245996577067.0,-204333295933.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,,7.048.957.751,34.799.606.882,,7048957751.0,34799606882.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,36,(492),(423),36.0,-492.0,-423.0
