row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Thuyết minh,31/12/2020 > VND,01/01/2020 > VND,numeric__TÀI SẢN_1,numeric__Thuyết minh,numeric__31/12/2020 > VND,numeric__01/01/2020 > VND
B.,B.,B.,TÀI SẢN DÀI HẠN,,4.170.717.450.080 √,4.510.607.255.315,,,,4510607255315.0
I.,I.,I.,Các khoản phải thu dài hạn,,595.160.792.034,595.288.863.782,,,595160792034.0,595288863782.0
1.,1.,1.,Phải thu dài hạn của khách hàng,5,594.637.125.500,594.765.197.248,,5.0,594637125500.0,594765197248.0
2.,2.,2.,Phải thu dài hạn khác,7,523.666.534,523.666.534,,7.0,523666534.0,523666534.0
II.,II.,II.,Tài sản cố định,,3.082.145.461.601,3.406.455.002.838,,,3082145461601.0,3406455002838.0
1.,1.,1.,Tài sản cố định hữu hình,12,2.290.740.718.586,2.596.664.930.035,,12.0,2290740718586.0,2596664930035.0
-,-,-,Nguyên giá,,6.201.411.059.238,6.209.172.842.999,,,6201411059238.0,6209172842999.0
-,-,-,Giá trị hao mòn luỹ kế,,(3.910.670.340.652),(3.612.507.912.964),,,-3910670340652.0,-3612507912964.0
2.,2.,2.,Tài sản cố định vô hình,13,791.404.743.015,809.790.072.803,,13.0,791404743015.0,809790072803.0
-,-,-,Nguyên giá,,838.847.640.303,852.882.820.647,,,838847640303.0,852882820647.0
-,-,-,Giá trị hao mòn luỹ kế,,(47.442.897.288),(43.092.747.844),,,-47442897288.0,-43092747844.0
III.,III.,III.,Bất động sản đầu tư,14,21.597.319.566,22.460.228.921,,14.0,21597319566.0,22460228921.0
-,-,-,Nguyên giá,,49.576.252.218,49.576.252.218,,,49576252218.0,49576252218.0
-,-,-,Giá trị hao mòn luỹ kế,,(27.978.932.652),(27.116.023.297),,,-27978932652.0,-27116023297.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,11,22.763.864.753,22.735.972.355,,11.0,22763864753.0,22735972355.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",,4.301.382.664,4.410.360.967,,,4301382664.0,4410360967.0
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,,18.462.482.089,18.325.611.388,,,18462482089.0,18325611388.0
V.,V.,V.,Đầu tư tài chính dài hạn,4,206.901.619.345,204.939.485.246,,4.0,206901619345.0,204939485246.0
1.,1.,1.,Đầu tư vào công ty con,,28.771.200.000,28.771.200.000,,,28771200000.0,28771200000.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",,168.504.755.941,168.061.540.301,,,168504755941.0,168061540301.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,,75.075.051.909,75.100.108.871,,,75075051909.0,75100108871.0
4.,4.,4.,Dự phòng giảm giá đầu tư tài chính dài hạn,,(65.449.388.505),(67.073.363.926),,,-65449388505.0,-67073363926.0
5.,5.,5.,Đầu tư nấm giữ đến ngày đáo hạn,,-,80.000.000,,,,80000000.0
VI.,VI.,VI.,Tài sản dài hạn khác,,242.148.392.781,258.727.702.173,,,242148392781.0,258727702173.0
1.,1.,1.,Chi phí trả trước dài hạn,15,241.216.078.267,257.394.851.293,,15.0,241216078267.0,257394851293.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,35.a,932.314.514,1.332.850.880,,,932314514.0,1332850880.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,,6.763.816.399.396,7.415.991.117.607,,,6763816399396.0,7415991117607.0
