row_label_raw,row_label_full,STT,Tên tài sản,Nguyên giá,Khấu hao lũy kế,Giá trị còn lại,numeric__Tên tài sản,numeric__Nguyên giá,numeric__Khấu hao lũy kế,numeric__Giá trị còn lại
,,,,VND,VND,VND,,,,
1,1,1,Máy móc thiết bị,41.804.306.894,41.541.017.678,263.289.216,,41804306894.0,41541017678.0,263289216.0
2,2,2,Phương tiện vận tải,412.589.720,412.589.720,-,,412589720.0,412589720.0,
3,3,3,Máy móc thiết bị,1.157.761.629,1.157.581.788,179.841,,1157761629.0,1157581788.0,179841.0
,,,Tổng,43.374.658.243,43.111.189.186,263.469.057,,43374658243.0,43111189186.0,263469057.0
