row_label_raw,row_label_full,col_0,Giá trị quyền sử dụng đất (*),Phần mềm máy tính,Tài sản cố định vô hình khác,Cộng,numeric__Giá trị quyền sử dụng đất (*),numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,832.008.676.639,10.147.305.826,10.726.838.182,852.882.820.647,832008676639.0,10147305826.0,10726838182.0,852882820647.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,,-,,,,
- Giảm khác,- Tăng khác > - Giảm khác,- Giảm khác,(13.849.235.000),-,(185.945.344),(14.035.180.344),-13849235000.0,,-185945344.0,-14035180344.0
Số dư cuối kỳ,- Tăng khác > Số dư cuối kỳ,Số dư cuối kỳ,818.159.441.639,10.147.305.826,10.540.892.838,838.847.640.303,818159441639.0,10147305826.0,10540892838.0,838847640303.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,24.431.613.893,9.718.759.091,8.942.374.860,43.092.747.844,24431613893.0,9718759091.0,8942374860.0,43092747844.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,3.913.560.367,211.085.209,279.412.891,4.404.058.467,3913560367.0,211085209.0,279412891.0,4404058467.0
- Tăng khác,- Tăng khác,- Tăng khác,,",",,-,,,,
- Giảm khác,- Tăng khác > - Giảm khác,- Giảm khác,,,(53.909.023),(53.909.023),,,-53909023.0,-53909023.0
Số dư cuối kỳ,- Tăng khác > Số dư cuối kỳ,Số dư cuối kỳ,28.345.174.260,9.929.844.300,9.167.878.728,47.442.897.288,28345174260.0,9929844300.0,9167878728.0,47442897288.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu kỳ,Giá trị còn lại > Tại ngày đầu kỳ,Tại ngày đầu kỳ,807.577.062.746,428.546.735,1.784.463.322,809.790.072.803,807577062746.0,428546735.0,1784463322.0,809790072803.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,789.814.267.379,217.461.526,1.373.014.110,791.404.743.015,789814267379.0,217461526.0,1373014110.0,791404743015.0
