row_label_raw,row_label_full,6 . TRẢ TRƯỚC CHO NGƯỜI BÁN NGẮN HẠN,6 . TRẢ TRƯỚC CHO NGƯỜI BÁN NGẮN HẠN_1,6 . TRẢ TRƯỚC CHO NGƯỜI BÁN NGẮN HẠN_2,6 . TRẢ TRƯỚC CHO NGƯỜI BÁN NGẮN HẠN_3,6 . TRẢ TRƯỚC CHO NGƯỜI BÁN NGẮN HẠN_4,6 . TRẢ TRƯỚC CHO NGƯỜI BÁN NGẮN HẠN_5,numeric__6 . TRẢ TRƯỚC CHO NGƯỜI BÁN NGẮN HẠN_1,numeric__6 . TRẢ TRƯỚC CHO NGƯỜI BÁN NGẮN HẠN_2,numeric__6 . TRẢ TRƯỚC CHO NGƯỜI BÁN NGẮN HẠN_3,numeric__6 . TRẢ TRƯỚC CHO NGƯỜI BÁN NGẮN HẠN_4,numeric__6 . TRẢ TRƯỚC CHO NGƯỜI BÁN NGẮN HẠN_5
,,,,31/12/2020,31/12/2020,01/01/2020,01/01/2020,,,,,
,,,,Giá trị,Dự phòng,Giá trị,Dự phòng,,,,,
,,,,VND,VND,VND,VND,,,,,
a),a),a),Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,
a),a) > a),a),Công ty Cổ phần Lương thực Hậu Giang,80.751.061.250,(71.251.061.250),80.751.061.250,(71.251.061.250),,80751061250.0,-71251061250.0,80751061250.0,-71251061250.0
a),a) > a),a),Công ty TNHH Xuất Nhập Khẩu Thương Mại Võ Thị Thu Hà,80.816.416.732,(80.816.416.732),83.025.813.232,(80.816.416.732),,80816416732.0,-80816416732.0,83025813232.0,-80816416732.0
a),a) > a),a),Công ty TNHH MTV Hòa Tân Lộc,78.629.955.300,(77.547.337.612),78.629.955.300,(77.547.337.612),,78629955300.0,-77547337612.0,78629955300.0,-77547337612.0
a),a) > a),a),Công ty TNHH Đầu tư Bình Lợi,12.709.500.000,(12.709.500.000),12.709.500.000,(12.709.500.000),,12709500000.0,-12709500000.0,12709500000.0,-12709500000.0
a),a) > a),a),Công ty Cổ phần Tập đoàn Thịnh Phát Kon Tum,77.481.437.313,(77.481.437.313),77.481.437.313,(77.481.437.313),,77481437313.0,-77481437313.0,77481437313.0,-77481437313.0
a),a) > a),a),Công ty TNHH Phương Huệ,5.957.565.050,(5.957.565.050),5.957.565.050,(5.957.565.050),,5957565050.0,-5957565050.0,5957565050.0,-5957565050.0
a),a) > a),a),Các khoản trả trước cho người bán khác,80.570.247.409,(9.165.991.372),48.594.381.761,(19.681.415.995),,80570247409.0,-9165991372.0,48594381761.0,-19681415995.0
,,,,416.916.183.054,(334.929.309.329),387.149.713.906,(345.444.733.952),,416916183054.0,-334929309329.0,387149713906.0,-345444733952.0
b),b),b),Trả trước cho người bán là các bên liên quan,,,,,,,,,
