row_label_raw,row_label_full,7 . PHẢI THU KHÁC,7 . PHẢI THU KHÁC_1,7 . PHẢI THU KHÁC_2,7 . PHẢI THU KHÁC_3,7 . PHẢI THU KHÁC_4,7 . PHẢI THU KHÁC_5,numeric__7 . PHẢI THU KHÁC_1,numeric__7 . PHẢI THU KHÁC_2,numeric__7 . PHẢI THU KHÁC_3,numeric__7 . PHẢI THU KHÁC_4,numeric__7 . PHẢI THU KHÁC_5
,,,,31/12/2020,31/12/2020,01/01/2020,01/01/2020,,,,,
,,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,,
,,,,VND,VND,VND,VND,,,,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,,
,,,- Phải thu về cổ phần hóa,3.917.686.259,-,3.917.686.259,-,,3917686259.0,,3917686259.0,
,,,- Phải thu Công ty Cổ phần Lương thực Đà Nẵng tiền lãi ứng vốn,1.629.041.396,(1.629.041.396),1.629.041.396,(1.629.041.396),,1629041396.0,-1629041396.0,1629041396.0,-1629041396.0
,,,- Phải thu Công ty Cổ phần Lương thực Hậu Giang về việc Tổng Công ty thực hiện nghĩa vụ bảo lãnh (1),28.000.000.000,(28.000.000.000),28.000.000.000,(28.000.000.000),,28000000000.0,-28000000000.0,28000000000.0,-28000000000.0
,,,- Phải thu về lãi Công ty CP Hậu Giang,2.189.114.872,(2.189.114.872),2.189.114.872,(2.189.114.872),,2189114872.0,-2189114872.0,2189114872.0,-2189114872.0
,,,- Công ty Lương thực Bạc Liêu phải thu Công ty TNHH Thương mại Xuất nhập khẩu Hiệp Tài tiền bồi thường hàng gửi kho (2),9.017.732.212,(9.017.732.212),9.017.732.212,(9.017.732.212),,9017732212.0,-9017732212.0,9017732212.0,-9017732212.0
,,,- Phải thu Công ty TNHH TM & DV Hải Gia tiền thuế GTGT mua hàng,1.321.775.227,(1.321.775.227),1.321.775.227,(1.321.775.227),,1321775227.0,-1321775227.0,1321775227.0,-1321775227.0
,,,- Phải thu Bộ tài chính tiền gạo viện trợ Philippines,2.041.037.047,-,2.041.037.047,-,,2041037047.0,,2041037047.0,
,,,- Phải thu Công ty CP Đầu tư Phát triển Địa ốc Hoàng Long,5.000.000.000,(5.000.000.000),5.000.000.000,(5.000.000.000),,5000000000.0,-5000000000.0,5000000000.0,-5000000000.0
,,,- Phải thu Công ty bảo hiểm PVI tiền bồi thường giá trị hàng bị hư hỏng,,-,6.711.828.339,-,,,,6711828339.0,
,,,- Phải thu Kho bạc Nhà nước,27.877.394.336,,,,,27877394336.0,,,
,,,- Phải thu khác,49.251.873.859,(14.569.617.294),19.679.875.903,(2.003.594.137),,49251873859.0,-14569617294.0,19679875903.0,-2003594137.0
