row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Thuyết minh,31/12/2020 > VND,01/01/2020 > VND,numeric__TÀI SẢN_1,numeric__Thuyết minh,numeric__31/12/2020 > VND,numeric__01/01/2020 > VND
A.,A.,A.,TÀI SẢN NGẮN HẠN,,2.593.098.949.316 √,2.905.383.862.292,,,,2905383862292.0
I.,I.,I.,Tiền và các khoản tương đương tiền,3,483.558.782.974,516.647.121.217,,3.0,483558782974.0,516647121217.0
1.,1.,1.,Tiền,,461.245.488.846,508.836.206.918,,,461245488846.0,508836206918.0
2.,2.,2.,Các khoản tương đương tiền,,22.313.294.128,7.810.914.299,,,22313294128.0,7810914299.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,,44.002.150.000,28.182.150.000,,,44002150000.0,28182150000.0
1.,1.,1.,Chứng khoán kinh doanh,,2.150.000,2.150.000,,,2150000.0,2150000.0
2.,2.,2.,Đầu tư nắm giữ đến ngày đáo hạn,4,44.000.000.000,28.180.000.000,,4.0,44000000000.0,28180000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,,614.003.351.105,987.692.086.280,,,614003351105.0,987692086280.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,5,671.436.163.281,1.135.632.283.191,,5.0,671436163281.0,1135632283191.0
2.,2.,2.,Trà trước cho người bán ngắn hạn,6,416.916.183.054,387.149.713.906,,6.0,416916183054.0,387149713906.0
3.,3.,3.,Phải thu ngắn hạn khác,7,130.245.655.208,75.590.404.996,,7.0,130245655208.0,75590404996.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,,(1.273.130.402.092),(1.279.159.966.947),,,-1273130402092.0,-1279159966947.0
5.,5.,5.,Tài sản thiếu chờ xử lý,8,668.535.751.654,668.479.651.134,,8.0,668535751654.0,668479651134.0
IV.,IV.,IV.,Hàng tồn kho,10,1.307.009.626.509,1.252.119.918.213,,10.0,1307009626509.0,1252119918213.0
1.,1.,1.,Hàng tồn kho,,1.357.772.421.291,1.272.065.352.505,,,1357772421291.0,1272065352505.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,,(50.762.794.782),(19.945.434.292),,,-50762794782.0,-19945434292.0
V.,V.,V.,Tài sản ngắn hạn khác,,144.525.038.728,120.742.586.582,,,144525038728.0,120742586582.0
1.,1.,1.,Chi phí trả trước ngắn hạn,15,11.425.446.269,10.970.884.675,,15.0,11425446269.0,10970884675.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,,127.462.964.350,104.172.661.670,,,127462964350.0,104172661670.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,18,5.636.628.109,5.599.040.237,,18.0,5636628109.0,5599040237.0
