row_label_raw,row_label_full,"Tổng Công ty Lương thực Miền Nam - Công ty cổ phầnSố 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh","Tổng Công ty Lương thực Miền Nam - Công ty cổ phầnSố 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2020 > Giá trịVND","Tổng Công ty Lương thực Miền Nam - Công ty cổ phầnSố 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2020 > Dự phòngVND",Báo cáo tài chính hợp nhất giữa niên độTừ ngày 01/01/2020 đến ngày 31/12/2020 > 01/01/2020 > Giá trịVND,Báo cáo tài chính hợp nhất giữa niên độTừ ngày 01/01/2020 đến ngày 31/12/2020 > 01/01/2020 > Dự phòngVND,"numeric__Tổng Công ty Lương thực Miền Nam - Công ty cổ phầnSố 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2020 > Giá trịVND","numeric__Tổng Công ty Lương thực Miền Nam - Công ty cổ phầnSố 333 Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh > 31/12/2020 > Dự phòngVND",numeric__Báo cáo tài chính hợp nhất giữa niên độTừ ngày 01/01/2020 đến ngày 31/12/2020 > 01/01/2020 > Giá trịVND,numeric__Báo cáo tài chính hợp nhất giữa niên độTừ ngày 01/01/2020 đến ngày 31/12/2020 > 01/01/2020 > Dự phòngVND
a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,,,,
- Hỗ trợ chính phù Cuba (*),a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Hỗ trợ chính phù Cuba (*),- Hỗ trợ chính phù Cuba (*),594.637.125.500,-,594.765.197.248,-,594637125500.0,,594765197248.0,
- Phoenix Global DMCC,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Phoenix Global DMCC,- Phoenix Global DMCC,,-,199.998.539.714,-,,,199998539714.0,
- AT Korea Agro- Fisheries and Food Trade Corporation,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - AT Korea Agro- Fisheries and Food Trade Corporation,- AT Korea Agro- Fisheries and Food Trade Corporation,,-,252.061.925.500,-,,,252061925500.0,
- Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,- Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,58.768.539.483,(58.768.539.483),58.768.539.483,(58.768.539.483),58768539483.0,-58768539483.0,58768539483.0,-58768539483.0
- Shenzhen city flourishing Agriculture Science,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Shenzhen city flourishing Agriculture Science,- Shenzhen city flourishing Agriculture Science,23.380.160.000,,,-,23380160000.0,,,
- Công ty Cổ phần Lương thực Hậu Giang,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Công ty Cổ phần Lương thực Hậu Giang,- Công ty Cổ phần Lương thực Hậu Giang,54.389.922.317,(54.389.922.317),54.389.922.317,(54.389.922.317),54389922317.0,-54389922317.0,54389922317.0,-54389922317.0
- Công ty TNHH MTV Hòa Tân Lộc,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Công ty TNHH MTV Hòa Tân Lộc,- Công ty TNHH MTV Hòa Tân Lộc,2.893.900.125,(2.893.900.125),2.893.900.125,(2.893.900.125),2893900125.0,-2893900125.0,2893900125.0,-2893900125.0
- Crop Worthy Ventures Inc,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Crop Worthy Ventures Inc,- Crop Worthy Ventures Inc,22.044.495.000,,,,22044495000.0,,,
"- Henan Huangguo Grain industry co, Ltd","a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Henan Huangguo Grain industry co, Ltd","- Henan Huangguo Grain industry co, Ltd",109.768.672.500,,,,109768672500.0,,,
