row_label_raw,row_label_full,Thuế Giá trị gia tăng,Số phải thu đầu nămVND > 167.402.261,Số phải nộp đầu nămVND > 7.158.347.618,Số phải nộp trong nămVND > 51.940.949.090,Số đã thực nộp trong nămVND > 54.372.484.217,Số phải thu cuối nămVND > 167.522.261,Số phải nộp cuối nămVND > 4.726.932.491,numeric__Số phải thu đầu nămVND > 167.402.261,numeric__Số phải nộp đầu nămVND > 7.158.347.618,numeric__Số phải nộp trong nămVND > 51.940.949.090,numeric__Số đã thực nộp trong nămVND > 54.372.484.217,numeric__Số phải thu cuối nămVND > 167.522.261,numeric__Số phải nộp cuối nămVND > 4.726.932.491
Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,-,-,351.500,351.500,-,-,,,351500.0,351500.0,,
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",-,-,-,,-,-,,,,,,
Thuế Thu nhập doanh nghiệp,"Thuế Xuất khẩu, Nhập khẩu > Thuế Thu nhập doanh nghiệp",Thuế Thu nhập doanh nghiệp,4.495.936.732,9.762.325.729,20.940.657.172,24.355.847.787,4.495.936.732,6.347.135.114,4495936732.0,9762325729.0,20940657172.0,24355847787.0,4495936732.0,6347135114.0
Thuế Thu nhập cá nhân,"Thuế Xuất khẩu, Nhập khẩu > Thuế Thu nhập cá nhân",Thuế Thu nhập cá nhân,888.588.290,683.777.420,3.981.874.424,4.278.161.575,916.022.598,414.924.577,888588290.0,683777420.0,3981874424.0,4278161575.0,916022598.0,414924577.0
Thuế Tài nguyên,"Thuế Xuất khẩu, Nhập khẩu > Thuế Tài nguyên",Thuế Tài nguyên,(5.453.465),33.133.430,417.359.165,426.856.710,-,29.089.350,-5453465.0,33133430.0,417359165.0,426856710.0,,29089350.0
"Thuế Nhà đất, tiền thuê đất","Thuế Xuất khẩu, Nhập khẩu > Thuế Nhà đất, tiền thuê đất","Thuế Nhà đất, tiền thuê đất",52.566.419,3.036.009.288,73.148.797.378,70.831.622.176,55.252.346,5.355.870.417,52566419.0,3036009288.0,73148797378.0,70831622176.0,55252346.0,5355870417.0
Thuế bảo vệ môi trường,"Thuế Xuất khẩu, Nhập khẩu > Thuế bảo vệ môi trường",Thuế bảo vệ môi trường,-,3.828.000,1.109.365.175,1.109.602.175,-,3.591.000,,3828000.0,1109365175.0,1109602175.0,,3591000.0
Các loại thuế khác,"Thuế Xuất khẩu, Nhập khẩu > Các loại thuế khác",Các loại thuế khác,-,-,500.567.578,500.567.578,-,-,,,500567578.0,500567578.0,,
"Phí, lệ phí và các khoản phải nộp khác","Thuế Xuất khẩu, Nhập khẩu > Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,79.887.176,202.688.516,204.582.688,1.894.172,79.887.176,,79887176.0,202688516.0,204582688.0,1894172.0,79887176.0
,,,5.599.040.237,20.757.308.661,152.242.609.998,156.080.076.406,5.636.628.109,16.957.430.125,5599040237.0,20757308661.0,152242609998.0,156080076406.0,5636628109.0,16957430125.0
