row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Thuyết minh,31/12/2020 > VND,01/01/2020 > VND,numeric__NGUỒN VỐN_1,numeric__Thuyết minh,numeric__31/12/2020 > VND,numeric__01/01/2020 > VND
C.,C.,C.,NỘ PHẢI TRẢ,,3.893.846.104.439 √,4.277.791.612.486,,,,4277791612486.0
I.,I.,I.,Nợ ngắn hạn,,2.573.091.687.241,2.961.073.942.519,,,2573091687241.0,2961073942519.0
1.,1.,1.,Phải trả người bán ngắn hạn,16,591.035.328.465,235.342.685.151,,16.0,591035328465.0,235342685151.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,17,155.516.860.293,122.177.332.454,,17.0,155516860293.0,122177332454.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,18,16.957.430.125,20.757.308.661,,18.0,16957430125.0,20757308661.0
4.,4.,4.,Phải trả người lao động,,65.350.110.066,46.388.160.915,,,65350110066.0,46388160915.0
5.,5.,5.,Chi phí phải trả ngắn hạn,19,45.588.541.279,46.153.421.488,,19.0,45588541279.0,46153421488.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,22,14.568.289.417,12.680.040.163,,22.0,14568289417.0,12680040163.0
7.,7.,7.,Phải trả ngắn hạn khác,20,210.986.053.601,194.594.225.107,,20.0,210986053601.0,194594225107.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,21,1.451.720.341.063,2.263.663.621.351,,21.0,1451720341063.0,2263663621351.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,,4.054.713.427,374.811.909,,,4054713427.0,374811909.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",,17.314.019.505,18.942.335.320,,,17314019505.0,18942335320.0
II.,II.,II.,Nợ dài hạn,,1.320.754.417.198,1.316.717.669.967,,,1320754417198.0,1316717669967.0
1.,1.,1.,Chi phí phải trả dài hạn,,230.000.000,-,,,230000000.0,
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,22,7.446.815.818,7.517.055.818,,22.0,7446815818.0,7517055818.0
3.,3.,3.,Phải trả dài hạn khác,20,1.205.114.929.825,1.204.514.401.573,,20.0,1205114929825.0,1204514401573.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,21,7.802.368.179,11.960.713.043,,21.0,7802368179.0,11960713043.0
5.,5.,5.,Thuế thu nhập hoãn lại phải trả,35.b,100.160.303.376,92.725.499.533,,,100160303376.0,92725499533.0
D.,D.,D.,VỐN CHỦ SỞ HỮ'U,,2.869.970.294.957 √,3.138.199.505.121,,,,3138199505121.0
I.,I.,I.,Vốn chủ sở hữu,,2.869.970.294.957,3.138.199.505.121,,,2869970294957.0,3138199505121.0
1.,1.,1.,Vốn đầu tư của chủ sở hữu,,5.000.000.000.000,5.000.000.000.000,,,5000000000000.0,5000000000000.0
-,-,-,Cổ phiếu phố thông có quyền biểu quyết,,5.000.000.000.000,5.000.000.000.000,,,5000000000000.0,5000000000000.0
2.,2.,2.,Thặng dư vốn cổ phần,,2.890.195.478,2.890.195.478,,,2890195478.0,2890195478.0
3.,3.,3.,Vốn khác của chủ sở hữu,,11.899.212.999,452.222.999,,,11899212999.0,452222999.0
4.,4.,4.,Chênh lệch đánh giá lại tài sản,,(215.070.235.809),(215.070.235.809),,,-215070235809.0,-215070235809.0
5.,5.,5.,Quỹ đầu tư phát triển,,83.607.445.359,91.524.511.850,,,83607445359.0,91524511850.0
6.,6.,6.,Quỹ khác thuộc vốn chủ sở hữu,,231.825.797.290,231.825.797.290,,,231825797290.0,231825797290.0
7.,7.,7.,Lợi nhuận sau thuế chưa phân phối,,(2.440.553.904.116),(2.181.079.199.124),,,-2440553904116.0,-2181079199124.0
-,-,-,Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,,(2.181.079.199.124),(1.965.505.677.213),,,-2181079199124.0,-1965505677213.0
-,-,-,Lợi nhuận sau thuế chưa phân phối năm nay,,(259.474.704.992),(215.573.521.911),,,-259474704992.0,-215573521911.0
8.,8.,8.,Lợi ích cổ đông không kiểm soát,,195.371.783.756,207.656.212.437,,,195371783756.0,207656212437.0
