row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,% sở hữu,% quyền biểu quyết,31/12/2018 > Giá gốc VND,31/12/2018 > Dự phòng VND,31/12/2018 > Giá trị hợp lý VND,31/12/2018 > % sở hữu,1/1/2018 > % quyền biểu quyết,1/1/2018 > Giá gốc VND,1/1/2018 > Dự phòng VND,numeric__Tên Công ty,numeric__Địa chỉ,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__31/12/2018 > Giá gốc VND,numeric__31/12/2018 > Dự phòng VND,numeric__31/12/2018 > Giá trị hợp lý VND,numeric__31/12/2018 > % sở hữu,numeric__1/1/2018 > % quyền biểu quyết,numeric__1/1/2018 > Giá gốc VND,numeric__1/1/2018 > Dự phòng VND
1,1,1,Tổng Công ty Vận tải Thủy Petrolimex,Hà Nội,100%,100%,2.196.550.463.185,-,(*),100%,100%,2.196.550.463.185,-,,,1.0,1.0,2196550463185.0,,,1.0,1.0,2196550463185.0,
2,2,2,Công ty LD TNHH Kho Xăng dầu,Khánh,,,,,,,,,,,,,,,,,,,,
,,,Ngoại quan Văn Phong,Hòa,85%,85%,629.755.076.565,-,(*),"85,00%","85,00%",629.755.076.565,(120.479.281.783),,,0.85,0.85,629755076565.0,,,0.85,0.85,629755076565.0,-120479281783.0
3,2 > 3,3,Tổng Công ty Hóa dầu Petrolimex – CTCP,Hà Nội,79%,79%,570.562.500.000,-,1.066.950.625.300,"79,07%","79,07%",570.562.500.000,-,,,0.79,0.79,570562500000.0,,1066950625300.0,0.7907,0.7907,570562500000.0,
4,2 > 4,4,Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Hà Nội,100%,100%,316.568.434.951,-,(*),100%,100%,316.568.434.951,-,,,1.0,1.0,316568434951.0,,,1.0,1.0,316568434951.0,
5,2 > 5,5,Tổng Công ty Gas Petrolimex – CTCP,Hà Nội,52%,52%,306.662.738.200,-,458.262.335.500,"52,37%","52,37%",306.662.738.200,-,,,0.52,0.52,306662738200.0,,458262335500.0,0.5236999999999999,0.5236999999999999,306662738200.0,
6,2 > 6,6,Công ty TNHH MTV Petrolimex Singapore,Singapore,100%,100%,287.897.418.502,-,(*),100%,100%,287.897.418.502,-,,,1.0,1.0,287897418502.0,,,1.0,1.0,287897418502.0,
7,2 > 7,7,Công ty CP Nhiên liệu bay Petrolimex,Hà Nội,59%,59%,88.500.000.000,-,(*),"59,00%","59,00%",88.500.000.000,-,,,0.59,0.59,88500000000.0,,,0.59,0.59,88500000000.0,
8,2 > 8,8,Công ty TNHH MTV Petrolimex Lào,Lào,100%,100%,68.162.068.617,(39.376.260.000),(*),100%,100%,68.162.068.617,-,,,1.0,1.0,68162068617.0,-39376260000.0,,1.0,1.0,68162068617.0,
9,2 > 9,9,Công ty CP Xuất nhập khẩu Petrolimex (i),TP. Hồ Chí Minh,0%,0%,-,-,-,"52,67%","52,67%",82.753.110.000,(23.553.904.009),,,0.0,0.0,,,,0.5267000000000001,0.5267000000000001,82753110000.0,-23553904009.0
10,2 > 10,10,Công ty CP Đầu tư và Dịch vụ Hạ tầng Xăng dầu (i),Hà Nội,0%,0%,-,-,-,"51,00%","51,00%",56.576.383.673,(8.322.225.396),,,0.0,0.0,,,,0.51,0.51,56576383673.0,-8322225396.0
11,2 > 11,11,Công ty CP Cơ khí Xăng dầu (i),TP. Hồ Chí Minh,0%,0%,-,-,-,"46,00%","46,00%",47.517.612.315,-,,,0.0,0.0,,,,0.46,0.46,47517612315.0,
12,2 > 12,12,Công ty TNHH Hóa chất PTN (i),Hải Phòng,0%,0%,-,-,-,"60,00%","60,00%",46.826.010.000,-,,,0.0,0.0,,,,0.6,0.6,46826010000.0,
13,2 > 13,13,Công ty CP Thiết bị Xăng dầu (i),Hà Nội,0%,0%,-,-,-,"50,48%","50,48%",15.554.168.240,-,,,0.0,0.0,,,,0.5047999999999999,0.5047999999999999,15554168240.0,
14,2 > 14,14,Công ty CP Tín học Viễn thông Petrolimex (i),Hà Nội,0%,0%,-,-,-,"50,33%","50,33%",11.435.592.821,-,,,0.0,0.0,,,,0.5033,0.5033,11435592821.0,
15,2 > 15,15,Công ty CP Tư vấn Xây dựng Petrolimex (i),Hà Nội,0%,0%,-,-,-,"51,00%","51,00%",6.841.650.000,-,,,0.0,0.0,,,,0.51,0.51,6841650000.0,
