row_label_raw,row_label_full,col_0,Lợi thế kinh doanh liên quan đến cổ phần hóa VND,Chi phí thuê văn phòng VND,Chi phí trả trước khác VND,Tổng cộng VND,numeric__Lợi thế kinh doanh liên quan đến cổ phần hóa VND,numeric__Chi phí thuê văn phòng VND,numeric__Chi phí trả trước khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,216.856.135.677,-,4.907.925.680,221.764.061.357,216856135677.0,,4907925680.0,221764061357.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,70.977.674.633,3.198.999.827,74.176.674.460,,70977674633.0,3198999827.0,74176674460.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(54.214.033.920),(5.069.833.902),(4.714.650.976),(63.998.518.798),-54214033920.0,-5069833902.0,-4714650976.0,-63998518798.0
Thanh lý,Thanh lý,Thanh lý,-,-,(35.705.762),(35.705.762),,,-35705762.0,-35705762.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,162.642.101.757,65.907.840.731,3.356.568.769,231.906.511.257,162642101757.0,65907840731.0,3356568769.0,231906511257.0
