row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2018VND,1/1/2018VND,,
Công ty TNHH MTV Lộc hóa dầu Bình Sơn,Công ty TNHH MTV Lộc hóa dầu Bình Sơn,Công ty TNHH MTV Lộc hóa dầu Bình Sơn,3.163.328.126.006,3.792.988.835.875,3163328126006.0,3792988835875.0
Tập đoàn Dầu khí Việt Nam - Chi nhánh Phân phối,Tập đoàn Dầu khí Việt Nam - Chi nhánh Phân phối,Tập đoàn Dầu khí Việt Nam - Chi nhánh Phân phối,,,,
Sản phẩm Lộc dầu Nghi Sơn,Tập đoàn Dầu khí Việt Nam - Chi nhánh Phân phối > Sản phẩm Lộc dầu Nghi Sơn,Sản phẩm Lộc dầu Nghi Sơn,3.134.835.927.322,-,3134835927322.0,
Vitol Asia Pte Ltd,Tập đoàn Dầu khí Việt Nam - Chi nhánh Phân phối > Vitol Asia Pte Ltd,Vitol Asia Pte Ltd,1.001.428.378.239,2.067.997.501.274,1001428378239.0,2067997501274.0
Shell Eastern Trading Pte Ltd,Tập đoàn Dầu khí Việt Nam - Chi nhánh Phân phối > Shell Eastern Trading Pte Ltd,Shell Eastern Trading Pte Ltd,420.081.214.152,453.173.873.111,420081214152.0,453173873111.0
Elico Oil Pte Ltd,Tập đoàn Dầu khí Việt Nam - Chi nhánh Phân phối > Elico Oil Pte Ltd,Elico Oil Pte Ltd,89.982.793.419,894.030.655.517,89982793419.0,894030655517.0
Lukoil Asia Pacific Pte Ltd,Tập đoàn Dầu khí Việt Nam - Chi nhánh Phân phối > Lukoil Asia Pacific Pte Ltd,Lukoil Asia Pacific Pte Ltd,247.338.887,1.083.522.813.908,247338887.0,1083522813908.0
Công ty TNHH MTV Petrolimex Singapore,Tập đoàn Dầu khí Việt Nam - Chi nhánh Phân phối > Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,-,1.889.337.527.562,,1889337527562.0
Các nhà cung cấp khác,Tập đoàn Dầu khí Việt Nam - Chi nhánh Phân phối > Các nhà cung cấp khác,Các nhà cung cấp khác,650.937.873.668,1.325.827.394.586,650937873668.0,1325827394586.0
,,,8.460.841.651.693,11.506.878.601.833,8460841651693.0,11506878601833.0
