row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thăng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thăng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,12.938.780.810.000,1.390.950.518.669,(1.550.648.460.000),3.261.509.635,-,5.068.559.588.932,17.850.903.967.236,12938780810000.0,1390950518669.0,-1550648460000.0,3261509635.0,,5068559588932.0,17850903967236.0
Chuyển khoản thăng dư vốn cổ phần từ một công ty con về Công ty me,Chuyển khoản thăng dư vốn cổ phần từ một công ty con về Công ty me,Chuyển khoản thăng dư vốn cổ phần từ một công ty con về Công ty me,-,46.643.599.043,-,-,-,-,46.643.599.043,,46643599043.0,,,,,46643599043.0
Cổ phiếu quỹ bán ra trong năm,Cổ phiếu quỹ bán ra trong năm,Cổ phiếu quỹ bán ra trong năm,-,811.067.745.500,200.000.000.000,-,-,-,1.011.067.745.500,,811067745500.0,200000000000.0,,,,1011067745500.0
Các chỉ phí trực tiếp liên quan đến việc phát hành lại cổ phiếu quỹ,Các chỉ phí trực tiếp liên quan đến việc phát hành lại cổ phiếu quỹ,Các chỉ phí trực tiếp liên quan đến việc phát hành lại cổ phiếu quỹ,-,(1.664.309.589),-,-,-,-,(1.664.309.589),,-1664309589.0,,,,,-1664309589.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,3.492.077.393.584,3.492.077.393.584,,,,,,3492077393584.0,3492077393584.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,53.719.669.524,1.252.002.338.768,(1.305.722.008.292),-,,,,53719669524.0,1252002338768.0,-1305722008292.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(26.823.711.000),(26.823.711.000),,,,,,-26823711000.0,-26823711000.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,-,(3.736.013.869.640),(3.736.013.869.640),,,,,,-3736013869640.0,-3736013869640.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,12.938.780.810.000,2.246.997.553.623,(1.350.648.460.000),56.981.179.159,1.252.002.338.768,3.492.077.393.584,18.636.190.815.134,12938780810000.0,2246997553623.0,-1350648460000.0,56981179159.0,1252002338768.0,3492077393584.0,18636190815134.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,3.061.720.158.218,3.061.720.158.218,,,,,,3061720158218.0,3061720158218.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(15.637.688.584),(15.637.688.584),,,,,,-15637688584.0,-15637688584.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,-,(3.476.439.705.000),(3.476.439.705.000),,,,,,-3476439705000.0,-3476439705000.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,12.938.780.810.000,2.246.997.553.623,(1.350.648.460.000),56.981.179.159,1.252.002.338.768,3.061.720.158.218,18.205.833.579.768,12938780810000.0,2246997553623.0,-1350648460000.0,56981179159.0,1252002338768.0,3061720158218.0,18205833579768.0
