row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sâncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sâncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,46.527.318.433,37.912.425.958,21.623.936.363,190.320.124.159,273.745.455,296.657.550.368,46527318433.0,37912425958.0,21623936363.0,190320124159.0,273745455.0,296657550368.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,11.276.667.950,27.044.320.727,280.000.000,38.600.988.677,,,11276667950.0,27044320727.0,280000000.0,38600988677.0
Chuyển từ chi phí xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựngcơ bản dở dang,Chuyển từ chi phí xây dựngcơ bản dở dang,-,10.025.888.842,-,-,-,10.025.888.842,,10025888842.0,,,,10025888842.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,-,(62.943.000),-,(62.943.000),,,,-62943000.0,,-62943000.0
Xóa sổ,Nguyên giá > Xóa sổ,Xóa sổ,-,-,-,(262.347.310),-,(262.347.310),,,,-262347310.0,,-262347310.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,46.527.318.433,47.938.314.800,32.900.604.313,217.039.154.576,553.745.455,344.959.137.577,46527318433.0,47938314800.0,32900604313.0,217039154576.0,553745455.0,344959137577.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,29.709.404.573,15.774.061.778,12.613.909.205,129.009.862.023,117.804.434,187.225.042.013,29709404573.0,15774061778.0,12613909205.0,129009862023.0,117804434.0,187225042013.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.467.446.077,7.336.759.610,2.427.244.886,22.798.052.987,66.941.967,34.096.445.527,1467446077.0,7336759610.0,2427244886.0,22798052987.0,66941967.0,34096445527.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,-,(62.943.000),-,(62.943.000),,,,-62943000.0,,-62943000.0
Xóa sổ,Giá trị hao mòn lũy kế > Xóa sổ,Xóa sổ,-,-,-,(247.193.408),-,(247.193.408),,,,-247193408.0,,-247193408.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,31.176.850.650,23.110.821.388,15.041.154.091,151.497.778.602,184.746.401,221.011.351.132,31176850650.0,23110821388.0,15041154091.0,151497778602.0,184746401.0,221011351132.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,16.817.913.860,22.138.364.180,9.010.027.158,61.310.262.136,155.941.021,109.432.508.355,16817913860.0,22138364180.0,9010027158.0,61310262136.0,155941021.0,109432508355.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,15.350.467.783,24.827.493.412,17.859.450.222,65.541.375.974,368.999.054,123.947.786.445,15350467783.0,24827493412.0,17859450222.0,65541375974.0,368999054.0,123947786445.0
