row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2018VND,2017VND,,
Các công ty con và công ty liên kết,Các công ty con và công ty liên kết,Các công ty con và công ty liên kết,Các công ty con và công ty liên kết,Các công ty con và công ty liên kết,,
Các công ty con thuộc Khối xăng dầu trực thuộc,Các công ty con thuộc Khối xăng dầu trực thuộc,Các công ty con thuộc Khối xăng dầu trực thuộc,Các công ty con thuộc Khối xăng dầu trực thuộc,Các công ty con thuộc Khối xăng dầu trực thuộc,,
Bán hàng hóa,Các công ty con thuộc Khối xăng dầu trực thuộc > Bán hàng hóa,Bán hàng hóa,134.037.160.399.924,106.908.257.860.721,134037160399924.0,106908257860721.0
Chi phí hàng giữ hộ,Các công ty con thuộc Khối xăng dầu trực thuộc > Chi phí hàng giữ hộ,Chi phí hàng giữ hộ,684.164.135.135,713.117.002.793,684164135135.0,713117002793.0
Lợi nhuận được chia,Các công ty con thuộc Khối xăng dầu trực thuộc > Lợi nhuận được chia,Lợi nhuận được chia,1.325.439.704.957,2.308.386.665.187,1325439704957.0,2308386665187.0
Lãi cho vay ủy thác,Các công ty con thuộc Khối xăng dầu trực thuộc > Lãi cho vay ủy thác,Lãi cho vay ủy thác,1.305.541.258,3.867.502.188,1305541258.0,3867502188.0
Thu hồi khoản cho vay ủy thác,Các công ty con thuộc Khối xăng dầu trực thuộc > Thu hồi khoản cho vay ủy thác,Thu hồi khoản cho vay ủy thác,34.319.756.941,32.100.115.558,34319756941.0,32100115558.0
Tăng vốn góp,Các công ty con thuộc Khối xăng dầu trực thuộc > Tăng vốn góp,Tăng vốn góp,-,1.318.900.000.000,,1318900000000.0
Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,,
Lãi tiền gửi,Ngân hàng TMCP Xăng dầu Petrolimex > Lãi tiền gửi,Lãi tiền gửi,81.965.345.224,63.550.177.859,81965345224.0,63550177859.0
Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,,
Mua hàng hóa và dịch vụ,Công ty TNHH MTV Petrolimex Singapore > Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,16.407.759.524.190,11.294.300.147.132,16407759524190.0,11294300147132.0
Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,,
Mua dịch vụ,Tổng Công ty Cổ phần Bảo hiểm Petrolimex > Mua dịch vụ,Mua dịch vụ,253.263.903.922,220.762.076.112,253263903922.0,220762076112.0
Cổ tức được chia,Tổng Công ty Cổ phần Bảo hiểm Petrolimex > Cổ tức được chia,Cổ tức được chia,43.593.984.000,39.961.152.000,43593984000.0,39961152000.0
Tổng Công ty Vận tải Thủy Petrolimex,Tổng Công ty Vận tải Thủy Petrolimex,Tổng Công ty Vận tải Thủy Petrolimex,Tổng Công ty Vận tải Thủy Petrolimex,Tổng Công ty Vận tải Thủy Petrolimex,,
Mua dịch vụ,Tổng Công ty Vận tải Thủy Petrolimex > Mua dịch vụ,Mua dịch vụ,1.411.409.761.720,1.536.200.893.791,1411409761720.0,1536200893791.0
Cổ tức được chia,Tổng Công ty Vận tải Thủy Petrolimex > Cổ tức được chia,Cổ tức được chia,69.631.896.574,85.538.448.609,69631896574.0,85538448609.0
Công ty Cổ phần Vận tải Xăng dầu VITACO,Công ty Cổ phần Vận tải Xăng dầu VITACO,Công ty Cổ phần Vận tải Xăng dầu VITACO,Công ty Cổ phần Vận tải Xăng dầu VITACO,Công ty Cổ phần Vận tải Xăng dầu VITACO,,
Mua dịch vụ,Công ty Cổ phần Vận tải Xăng dầu VITACO > Mua dịch vụ,Mua dịch vụ,204.598.886.417,174.645.846.489,204598886417.0,174645846489.0
Tổng Công ty Hóa đầu Petrolimex - CTCP,Tổng Công ty Hóa đầu Petrolimex - CTCP,Tổng Công ty Hóa đầu Petrolimex - CTCP,Tổng Công ty Hóa đầu Petrolimex - CTCP,Tổng Công ty Hóa đầu Petrolimex - CTCP,,
Mua hàng hóa,Tổng Công ty Hóa đầu Petrolimex - CTCP > Mua hàng hóa,Mua hàng hóa,133.978.566.570,-,133978566570.0,
Cổ tức được chia,Tổng Công ty Hóa đầu Petrolimex - CTCP > Cổ tức được chia,Cổ tức được chia,127.778.518.000,127.778.518.000,127778518000.0,127778518000.0
Tổng Công ty Gas Petrolimex - CTCP,Tổng Công ty Gas Petrolimex - CTCP,Tổng Công ty Gas Petrolimex - CTCP,Tổng Công ty Gas Petrolimex - CTCP,Tổng Công ty Gas Petrolimex - CTCP,,
Cổ tức được chia,Tổng Công ty Gas Petrolimex - CTCP > Cổ tức được chia,Cổ tức được chia,37.925.158.800,37.925.158.800,37925158800.0,37925158800.0
Công ty Liên doanh TNHH Kho Xăng dầu,Công ty Liên doanh TNHH Kho Xăng dầu,Công ty Liên doanh TNHH Kho Xăng dầu,Công ty Liên doanh TNHH Kho Xăng dầu,Công ty Liên doanh TNHH Kho Xăng dầu,,
Ngoại quan Vân Phong,Ngoại quan Vân Phong,Ngoại quan Vân Phong,Ngoại quan Vân Phong,Ngoại quan Vân Phong,,
Mua dịch vụ,Ngoại quan Vân Phong > Mua dịch vụ,Mua dịch vụ,245.388.858.491,118.268.300.589,245388858491.0,118268300589.0
