row_label_raw,row_label_full,col_0,Lợi nhuận từ thanh lý công ty con VND,numeric__Lợi nhuận từ thanh lý công ty con VND
Giá trị ghi sổ của khoản đầu tư được thanh lý,Giá trị ghi sổ của khoản đầu tư được thanh lý,Giá trị ghi sổ của khoản đầu tư được thanh lý,(261.833.520.000),-261833520000.0
Tiền thu được từ thanh lý công ty con,Tiền thu được từ thanh lý công ty con,Tiền thu được từ thanh lý công ty con,266.407.728.000,266407728000.0
Lợi nhuận từ giao dịch bán cổ phần một công ty con (Thuyết minh 27),Lợi nhuận từ giao dịch bán cổ phần một công ty con (Thuyết minh 27),Lợi nhuận từ giao dịch bán cổ phần một công ty con (Thuyết minh 27),4.574.208.000,4574208000.0
