row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy tínhVND,Bản quyềnphần mềmVND,Tài sảncố định khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy tínhVND,numeric__Bản quyềnphần mềmVND,numeric__Tài sảncố định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,216.496.103.958,288.458.820.942,5.860.531.000,3.555.000.000,514.370.455.900,216496103958.0,288458820942.0,5860531000.0,3555000000.0,514370455900.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,12.155.667.000,-,-,12.155.667.000,,12155667000.0,,,12155667000.0
Chuyển từ chi phíxây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phíxây dựng cơ bản dở dang,Chuyển từ chi phíxây dựng cơ bản dở dang,-,16.458.000.000,-,-,16.458.000.000,,16458000000.0,,,16458000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,216.496.103.958,317.072.487.942,5.860.531.000,3.555.000.000,542.984.122.900,216496103958.0,317072487942.0,5860531000.0,3555000000.0,542984122900.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,14.578.191.421,239.748.009.368,2.163.347.064,3.170.218.811,259.659.766.664,14578191421.0,239748009368.0,2163347064.0,3170218811.0,259659766664.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.966.580.864,32.431.341.921,586.053.100,355.557.301,37.339.533.186,3966580864.0,32431341921.0,586053100.0,355557301.0,37339533186.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,18.544.772.285,272.179.351.289,2.749.400.164,3.525.776.112,296.999.299.850,18544772285.0,272179351289.0,2749400164.0,3525776112.0,296999299850.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,201.917.912.537,48.710.811.574,3.697.183.936,384.781.189,254.710.689.236,201917912537.0,48710811574.0,3697183936.0,384781189.0,254710689236.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,197.951.331.673,44.893.136.653,3.111.130.836,29.223.888,245.984.823.050,197951331673.0,44893136653.0,3111130836.0,29223888.0,245984823050.0
