row_label_raw,row_label_full,STT,Công ty,%sở hữu,Giá gốc của khoản đầu tư VND,Giá trị định giá lại của khoản đầu tư VND,numeric__Công ty,numeric__%sở hữu,numeric__Giá gốc của khoản đầu tư VND,numeric__Giá trị định giá lại của khoản đầu tư VND
1,1,1,Công ty CP Xuất nhập khẩu Petrolimex,"52,67%",82.753.110.000,80.056.110.000,,0.5267000000000001,82753110000.0,80056110000.0
2,2,2,Công ty CP Đầu tư và Dịch vụHạ tầng Xăng dầu,"51,00%",56.576.383.673,51.000.000.000,,0.51,56576383673.0,51000000000.0
3,3,3,Công ty CP Cơ khí Xăng dầu,"46,00%",47.517.612.315,77.536.131.640,,0.46,47517612315.0,77536131640.0
4,4,4,Công ty TNHH Hóa chất PTN,"60,00%",46.826.010.000,41.831.890.158,,0.6,46826010000.0,41831890158.0
5,5,5,Công ty CP Thiết bị Xăng dầu,"50,48%",15.554.168.240,22.925.520.000,,0.5047999999999999,15554168240.0,22925520000.0
6,6,6,Công ty CP Tin học Viễn thôngPetrolimex,"50,33%",11.435.592.821,33.173.096.190,,0.5033,11435592821.0,33173096190.0
7,7,7,Công ty CP Tư vấn Xây dựng Petrolimex,"51,00%",6.841.650.000,9.963.972.000,,0.51,6841650000.0,9963972000.0
8,8,8,Công ty Cổ phần Xây lắp I,"30,00%",31.296.333.148,60.768.101.500,,0.3,31296333148.0,60768101500.0
9,9,9,Công ty Cổ phần Xây lắp III,"30,00%",19.722.009.190,25.560.000.000,,0.3,19722009190.0,25560000000.0
,,,,,318.522.869.387,402.814.821.488,,,318522869387.0,402814821488.0
