row_label_raw,row_label_full,Ngân hàng TMCP Ngoại thương Việt Nam,Loại tiền > VND > USD,31/12/2018 VND > 2.100.220.505.954 > 563.770.708.383,1/1/2018 VND > - > 1.677.375.851.678,numeric__Loại tiền > VND > USD,numeric__31/12/2018 VND > 2.100.220.505.954 > 563.770.708.383,numeric__1/1/2018 VND > - > 1.677.375.851.678
Ngân hàng Mizuho – Chi nhánh Hà Nội,Ngân hàng Mizuho – Chi nhánh Hà Nội,Ngân hàng Mizuho – Chi nhánh Hà Nội,USD,936.754.617.324,1.022.908.076.674,,936754617324.0,1022908076674.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,USD,627.615.000.000,547.239.481.366,,627615000000.0,547239481366.0
Ngân hàng ANZ – Chi nhánh Hà Nội,Ngân hàng ANZ – Chi nhánh Hà Nội,Ngân hàng ANZ – Chi nhánh Hà Nội,VND,626.890.827.343,496.908.697.491,,626890827343.0,496908697491.0
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,VND,-,1.945.601.984.650,,,1945601984650.0
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,USD,577.922.299.997,325.110.500.000,,577922299997.0,325110500000.0
Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,VND,541.147.000.000,-,,541147000000.0,
Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,USD,409.576.247.605,547.622.167.799,,409576247605.0,547622167799.0
Ngân hàng Citibank Việt Nam,Ngân hàng Citibank Việt Nam,Ngân hàng Citibank Việt Nam,VND,390.000.000.000,320.410.541.533,,390000000000.0,320410541533.0
Ngân hàng TNHH Một thành viên HSBC (Việt Nam),Ngân hàng TNHH Một thành viên HSBC (Việt Nam),Ngân hàng TNHH Một thành viên HSBC (Việt Nam),VND,232.751.190.994,304.535.247.271,,232751190994.0,304535247271.0
Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,VND,130.794.352.976,-,,130794352976.0,
Ngân hàng BNP Paribas,Ngân hàng BNP Paribas,Ngân hàng BNP Paribas,VND,-,536.945.120.542,,,536945120542.0
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,USD,-,389.017.320.707,,,389017320707.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,VND,-,160.000.000.000,,,160000000000.0
Ngân hàng TNHH Một thành viên Standard Chartered (Việt Nam),Ngân hàng TNHH Một thành viên Standard Chartered (Việt Nam),Ngân hàng TNHH Một thành viên Standard Chartered (Việt Nam),VND,-,133.951.749.608,,,133951749608.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,VND,-,102.195.000.000,,,102195000000.0
,,,,7.137.442.750.576,8.509.821.739.319,,7137442750576.0,8509821739319.0
