row_label_raw,row_label_full,Số đầu năm > Dự phòng trích lập trong năm > Số cuối năm,Năm nay > - > 28.128.474,Ngàn VNDNăm trước > -,numeric__Năm nay > - > 28.128.474,numeric__Ngàn VNDNăm trước > -
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Dự phòng phải thu ngắn hạn khó đòi,Trong đó: > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,27.874.871,-,27874871.0,
Dự phòng phải thu dài hạn khó đòi,Trong đó: > Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,253.603,-,253603.0,
