row_label_raw,row_label_full,"Tên ngân hàng > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (""BIDV"")",Số cuối năm > 2.126.870.427,Ngàn VND Số đầu năm > 2.522.768.438,numeric__Số cuối năm > 2.126.870.427,numeric__Ngàn VND Số đầu năm > 2.522.768.438
"Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh (""HDBank"")","Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh (""HDBank"")","Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh (""HDBank"")",1.029.352.918,1.334.047.633,1029352918.0,1334047633.0
"Ngân hàng Liên doanh Lào Việt (""Ngân hàng Lào - Việt"")","Ngân hàng Liên doanh Lào Việt (""Ngân hàng Lào - Việt"")","Ngân hàng Liên doanh Lào Việt (""Ngân hàng Lào - Việt"")",822.882.260,1.031.033.107,822882260.0,1031033107.0
"Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín (""Sacombank"")","Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín (""Sacombank"")","Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín (""Sacombank"")",553.088.595,1.004.832.519,553088595.0,1004832519.0
"Ngân Hàng Thương mại Cổ phần Tiên Phong (""TPBank"")","Ngân Hàng Thương mại Cổ phần Tiên Phong (""TPBank"")","Ngân Hàng Thương mại Cổ phần Tiên Phong (""TPBank"")",100.000.000,250.000.000,100000000.0,250000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.632.194.200,6.142.681.697,4632194200.0,6142681697.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,3.095.659.574,4.604.709.171,3095659574.0,4604709171.0
Vay dài hạn ngân hàng đến hạn trả,Trong đó: > Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,1.536.534.626,1.537.972.526,1536534626.0,1537972526.0
