row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Giá vốn bán trái cây,Giá vốn bán trái cây,Giá vốn bán trái cây,1.005.948.511,1.298.285.319,1005948511.0,1298285319.0
Giá vốn mũ cao su,Giá vốn mũ cao su,Giá vốn mũ cao su,451.431.843,371.389.292,451431843.0,371389292.0
"Giá vốn dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)","Giá vốn dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)","Giá vốn dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)",202.192.049,368.041.139,202192049.0,368041139.0
Giá vốn hàng hóa,Giá vốn hàng hóa,Giá vốn hàng hóa,144.185.834,159.796.549,144185834.0,159796549.0
Giá vốn bán ót,Giá vốn bán ót,Giá vốn bán ót,43.130.128,353.339.846,43130128.0,353339846.0
Giá vốn bán tiêu,Giá vốn bán tiêu,Giá vốn bán tiêu,771.286,35.011.542,771286.0,35011542.0
Giá vốn dịch vụ cho thuê,Giá vốn dịch vụ cho thuê,Giá vốn dịch vụ cho thuê,-,227.734.536,,227734536.0
Giá vốn bán bò,Giá vốn bán bò,Giá vốn bán bò,-,135.954.566,,135954566.0
Giá vốn bất động sản đầu tư,Giá vốn bất động sản đầu tư,Giá vốn bất động sản đầu tư,-,38.476.544,,38476544.0
Giá vốn của các hợp đồng xây dựng,Giá vốn của các hợp đồng xây dựng,Giá vốn của các hợp đồng xây dựng,-,25.465.893,,25465893.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.847.659.651,3.013.495.226,1847659651.0,3013495226.0
