row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc (*)","Máy móc,thiết bị",Phương tiệnvận chuyển,Thiết bịvăn phòng,Cây trồnglâu năm vàvật nuôi,Tài sản khác,Ngân VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc (*)","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Cây trồnglâu năm vàvật nuôi,numeric__Tài sản khác,numeric__Ngân VNDTổng cộng
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(499.540.164),(304.967.450),(606.329.670),(6.481.628),(600.015.654),(31.988.905),(2.049.323.471),-499540164.0,-304967450.0,-606329670.0,-6481628.0,-600015654.0,-31988905.0,-2049323471.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(162.720.140),(67.750.662),(191.245.878),(758.817),(452.263.649),(5.714.689),(880.453.835),-162720140.0,-67750662.0,-191245878.0,-758817.0,-452263649.0,-5714689.0,-880453835.0
Chênh lệch tỷ giá,Giá trị khấu hao lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,13.769.102,6.370.136,17.202.143,33.595,20.903.545,285.929,58.564.450,13769102.0,6370136.0,17202143.0,33595.0,20903545.0,285929.0,58564450.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,91.109.839,34.301.648,6.477.415,205.197,92.761.898,42.209,224.898.206,91109839.0,34301648.0,6477415.0,205197.0,92761898.0,42209.0,224898206.0
Thanh lý các công ty con,Giá trị khấu hao lũy kế > Thanh lý các công ty con,Thanh lý các công ty con,61.327.938,21.361.861,84.717.457,2.303.261,109.666.597,1.089.343,280.466.457,61327938.0,21361861.0,84717457.0,2303261.0,109666597.0,1089343.0,280466457.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,-,(1.379.154),-,-,-,-,(1.379.154),,-1379154.0,,,,,-1379154.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(496.053.425),(312.063.621),(689.178.533),(4.698.392),(828.947.263),(36.286.113),(2.367.227.347),-496053425.0,-312063621.0,-689178533.0,-4698392.0,-828947263.0,-36286113.0,-2367227347.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.598.403.078,275.352.752,1.767.092.069,763.828,7.293.612.043,21.644.609,10.956.868.379,1598403078.0,275352752.0,1767092069.0,763828.0,7293612043.0,21644609.0,10956868379.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,1.715.751.826,279.735.018,1.464.361.770,2.095.657,6.762.815.306,22.480.326,10.247.239.903,1715751826.0,279735018.0,1464361770.0,2095657.0,6762815306.0,22480326.0,10247239903.0
Trong đó:Nguyên giá của tài sản đã khấu hao hết,Giá trị còn lại > Trong đó:Nguyên giá của tài sản đã khấu hao hết,Trong đó:Nguyên giá của tài sản đã khấu hao hết,23.454.764,51.086.781,65.243.672,3.628.552,6.689.440,8.847.015,158.950.224,23454764.0,51086781.0,65243672.0,3628552.0,6689440.0,8847015.0,158950224.0
Tài sản sử dụng để cẩm cố/thẻ chấpcác khoản vay (TM số 24),Giá trị còn lại > Tài sản sử dụng để cẩm cố/thẻ chấpcác khoản vay (TM số 24),Tài sản sử dụng để cẩm cố/thẻ chấpcác khoản vay (TM số 24),1.239.773.422,242.606.878,1.408.741.752,28.305,5.649.883.681,14.762.308,8.555.796.346,1239773422.0,242606878.0,1408741752.0,28305.0,5649883681.0,14762308.0,8555796346.0
