row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ sở hữu (%),Số cuối năm > Giá trị đầu tư Ngân VND,Số đầu năm > Tỷ lệ sở hữu (%),Số đầu năm > Giá trị đầu tư Ngân VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số cuối năm > Giá trị đầu tư Ngân VND,numeric__Số đầu năm > Tỷ lệ sở hữu (%),numeric__Số đầu năm > Giá trị đầu tư Ngân VND
Công ty Cổ phần Cao su Bidiphar (*),Công ty Cổ phần Cao su Bidiphar (*),Công ty Cổ phần Cao su Bidiphar (*),Trồng cây cao su,"49,14",265.503.612,"49,14",263.399.088,,49.14,265503612.0,49.14,263399088.0
Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Tư vấn và thiết kế,"25,00",7.609.521,"25,00",7.609.521,,25.0,7609521.0,25.0,7609521.0
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Bất động sản,-,-,"47,89",2.500.883.911,,,,47.89,2500883911.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,273.113.133,,2.771.892.520,,,273113133.0,,2771892520.0
