row_label_raw,row_label_full,TỔNG CỘNG,822.882.260,numeric__822.882.260
Trong đó:,Trong đó:,Trong đó:,Trong đó:,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,564.430.747,564430747.0
Vay dài hạnđến hạn trả,Trong đó: > Vay dài hạnđến hạn trả,Vay dài hạnđến hạn trả,258.451.513,258451513.0
