row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Myanmar > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__Myanmar > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.404.557.735,1.425.895.038,462.576.959,709.295.233,385.875.435,5.388.200.400,2404557735.0,1425895038.0,462576959.0,709295233.0,385875435.0,5388200400.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,369.573.685,1.376.177.891,738.160.181,123.728.000,-,2.607.639.757,369573685.0,1376177891.0,738160181.0,123728000.0,,2607639757.0
Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,14.312.987.426,18.630.100.529,11.175.137.728,-,-,44.118.225.683,14312987426.0,18630100529.0,11175137728.0,,,44118225683.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,,337.736.719,,,,,,337736719.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,2.771.892.520,,,,,,2771892520.0
Tài sản không phân bổ,Các thông tin bộ phận khác > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,883.586.694,,,,,,883586694.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,,48.111.441.616,,,,,,48111441616.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,1.534.715.541,55.226.305,72.494.906,-,413.007.272,2.075.444.024,1534715541.0,55226305.0,72494906.0,,413007272.0,2075444024.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,210.274.272,1.285.463.805,679.912.947,-,-,2.175.651.024,210274272.0,1285463805.0,679912947.0,,,2175651024.0
Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,15.408.172.633,13.936.721.082,7.768.098.465,-,-,37.112.992.180,15408172633.0,13936721082.0,7768098465.0,,,37112992180.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,,254.431.616,,,,,,254431616.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,273.113.133,,,,,,273113133.0
Tài sản không phân bổ,Các thông tin bộ phận khác > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,991.950.160,,,,,,991950160.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,,38.632.487.089,,,,,,38632487089.0
