row_label_raw,row_label_full,TỔNG CỘNG,1.029.352.918,numeric__1.029.352.918
Trong đó:,Trong đó:,Trong đó:,Trong đó:,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,665.514.697,665514697.0
Vay dài hạnđến hạn trả,Trong đó: > Vay dài hạnđến hạn trả,Vay dài hạnđến hạn trả,363.838.221,363838221.0
