row_label_raw,row_label_full,col_0,Ngàn VNDGiá trị,numeric__Ngàn VNDGiá trị
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,4.086.295.173,4086295173.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(2.507.005.191),-2507005191.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,1.579.289.982,1579289982.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,
Số đầu năm,Giá trị phân bổ lũy kế > Số đầu năm,Số đầu năm,(865.148.325),-865148325.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,(315.937.136),-315937136.0
Thanh lý,Giá trị phân bổ lũy kế > Thanh lý,Thanh lý,580.667.048,580667048.0
Số cuối năm,Giá trị phân bổ lũy kế > Số cuối năm,Số cuối năm,(600.418.413),-600418413.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.221.146.848,3221146848.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,978.871.569,978871569.0
