row_label_raw,row_label_full,Tên đối tượng,Số tiền(Ngàn VND),Thời hạn thanh toán vàngày đáo hạn,Lãi suất(%/năm),Tài sản thế chấp,numeric__Số tiền(Ngàn VND),numeric__Thời hạn thanh toán vàngày đáo hạn,numeric__Lãi suất(%/năm),numeric__Tài sản thế chấp
Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,,,,
Công ty Cổ phần Ô tô Trường Hải,Vay ngắn hạn khác > Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,897.464.625,Từ ngày 12 tháng 7 năm 2020đến ngày 11 tháng 12 năm 2020,"Từ 8,00đến 9,50",Tín chấp,897464625.0,,,
Ông Nguyễn Xuân Quang,Vay ngắn hạn khác > Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,99.650.107,Ngày 26 tháng 6 năm 2020,"14,00",20.000.000 cổ phiếu HNG thuộc sở hữu của Hưng Thắng Lợi.,99650107.0,,14.0,
Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Vay ngắn hạn khác > Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,93.304.467,Ngày 26 tháng 6 năm 2020,"14,00",13.750.000 cổ phiếu HNG thuộc sở hữu của Hưng Thắng Lợi.,93304467.0,,14.0,
Công ty TNHH Hakuba,Vay ngắn hạn khác > Công ty TNHH Hakuba,Công ty TNHH Hakuba,58.000.000,Ngày 6 tháng 3 năm 2020,"14,00",10.000.000 cổ phiếu HNG thuộc sở hữu của Hưng Thắng Lợi.,58000000.0,,14.0,
Bà Kiều Ngọc Hoa,Vay ngắn hạn khác > Bà Kiều Ngọc Hoa,Bà Kiều Ngọc Hoa,50.000.000,Ngày 4 tháng 2 năm 2020,"14,00",Tín chấp,50000000.0,,14.0,
TỔNG CỘNG,Vay ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,1.198.419.199,,,,1198419199.0,,,
Vay dài hạn khác,Vay dài hạn khác,Vay dài hạn khác,Vay dài hạn khác,Vay dài hạn khác,Vay dài hạn khác,Vay dài hạn khác,,,,
Công ty Cổ phần Ô tô Trường Hải,Vay dài hạn khác > Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,805.260.834,Ngày 10 tháng 6 năm 2021,"10,50",Tín chấp,805260834.0,,10.5,
