row_label_raw,row_label_full,TỔNG CỘNG,2.126.870.427,numeric__2.126.870.427
Trong đó:,Trong đó:,Trong đó:,Trong đó:,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,1.289.714.861,1289714861.0
Vay dài hạnđến hạn trả,Trong đó: > Vay dài hạnđến hạn trả,Vay dài hạnđến hạn trả,837.155.566,837155566.0
