row_label_raw,row_label_full,Số đầu năm > Lợi nhuận từ công ty liên kết trong năm,74.696.342 > 12.562.347,numeric__74.696.342 > 12.562.347
Thanh lý,Thanh lý,Thanh lý,(71.041.644),-71041644.0
Cổ tức trong năm,Cổ tức trong năm,Cổ tức trong năm,(10.457.823),-10457823.0
Số cuối năm,Số cuối năm,Số cuối năm,5.759.222,5759222.0
