row_label_raw,row_label_full,Các bên liên quan,Lãi suất%/năm,Số cuối năm,Ngàn VNDSố đầu năm,numeric__Lãi suất%/năm,numeric__Số cuối năm,numeric__Ngàn VNDSố đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,"9,75 - 10,00",1.068.890.232,313.312.864,,1068890232.0,313312864.0
Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,"11,50",857.847.971,-,11.5,857847971.0,
Công ty Cổ phần Gỗ Hoàng AnhGia Lai,Công ty Cổ phần Gỗ Hoàng AnhGia Lai,Công ty Cổ phần Gỗ Hoàng AnhGia Lai,"12,00",86.936.725,82.726.796,12.0,86936725.0,82726796.0
Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,-,-,93.000.000,,,93000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,2.013.674.928,489.039.660,,2013674928.0,489039660.0
