row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối (lỗ lũy kế),Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối (lỗ lũy kế),numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,9.274.679.470,3.263.858.784,(686.640),453.812.960,279.895.303,702.809.115,13.974.368.992,9274679470.0,3263858784.0,-686640.0,453812960.0,279895303.0,702809115.0,13974368992.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,117.506.769,117.506.769,,,,,,117506769.0,117506769.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,31.424.384,-,-,31.424.384,,,,31424384.0,,,31424384.0
"Thù lao HĐQT, ban kiểm soát và thư ký","Năm trước > Thù lao HĐQT, ban kiểm soát và thư ký","Thù lao HĐQT, ban kiểm soát và thư ký",-,-,-,-,-,(1.737.000),(1.737.000),,,,,,-1737000.0,-1737000.0
Trích lập quỹ,Năm trước > Trích lập quỹ,Trích lập quỹ,-,-,-,-,749.460,(749.460),-,,,,,749460.0,-749460.0,
Thanh lý công ty con,Năm trước > Thanh lý công ty con,Thanh lý công ty con,-,-,-,-,-,(426.403.248),(426.403.248),,,,,,-426403248.0,-426403248.0
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,Năm trước > Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,-,-,-,-,-,(427.861.152),(427.861.152),,,,,,-427861152.0,-427861152.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,9.274.679.470,3.263.858.784,(686.640),485.237.344,280.644.763,(36.434.976),13.267.298.745,9274679470.0,3263858784.0,-686640.0,485237344.0,280644763.0,-36434976.0,13267298745.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,9.274.679.470,3.263.858.784,(686.640),485.237.344,280.644.763,(36.434.976),13.267.298.745,9274679470.0,3263858784.0,-686640.0,485237344.0,280644763.0,-36434976.0,13267298745.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,216.517.715,216.517.715,,,,,,216517715.0,216517715.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(909.696.018),-,-,(909.696.018),,,,-909696018.0,,,-909696018.0
"Thù lao HĐQT, ban kiểm soát và thư ký","Năm nay > Thù lao HĐQT, ban kiểm soát và thư ký","Thù lao HĐQT, ban kiểm soát và thư ký",-,-,-,-,-,(2.797.000),(2.797.000),,,,,,-2797000.0,-2797000.0
Trích lập quỹ,Năm nay > Trích lập quỹ,Trích lập quỹ,-,-,-,-,1.024.011,(1.024.011),-,,,,,1024011.0,-1024011.0,
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,Năm nay > Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,-,-,-,-,-,114.577.508,114.577.508,,,,,,114577508.0,114577508.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,9.274.679.470,3.263.858.784,(686.640),(424.458.674),281.668.774,290.839.236,12.685.900.950,9274679470.0,3263858784.0,-686640.0,-424458674.0,281668774.0,290839236.0,12685900950.0
