row_label_raw,row_label_full,col_0,col_1,Số cuối năm,Ngàn VND Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,
Cho vay ngắn hạn bên liên quan (TM số 34.2),Ngắn hạn > Cho vay ngắn hạn bên liên quan (TM số 34.2),Cho vay ngắn hạn bên liên quan (TM số 34.2),(i),2.052.173.055,633.710.952,,2052173055.0,633710952.0
Cho vay ngắn hạn các bên khác,Ngắn hạn > Cho vay ngắn hạn các bên khác,Cho vay ngắn hạn các bên khác,(ii),215.195.363,91.177.884,,215195363.0,91177884.0
,,,,2.267.368.418,724.888.836,,2267368418.0,724888836.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,
Cho vay dài hạn bên liên quan (TM số 34.2),Dải hạn > Cho vay dài hạn bên liên quan (TM số 34.2),Cho vay dài hạn bên liên quan (TM số 34.2),(i),7.453.259.203,6.130.524.711,,7453259203.0,6130524711.0
Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu,Dải hạn > Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu,Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu,(iii),17.305.361,15.020.312,,17305361.0,15020312.0
Cho vay dài hạn các bên khác,Dải hạn > Cho vay dài hạn các bên khác,Cho vay dài hạn các bên khác,(ii),43.380.902,42.880.908,,43380902.0,42880908.0
,,,,7.513.945.466,6.188.425.931,,7513945466.0,6188425931.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,9.781.313.884,6.913.314.767,,9781313884.0,6913314767.0
