row_label_raw,row_label_full,Số đầu năm,Số cuối năm > 3.543.587.941,Ngàn VND Số đầu năm > 3.813.603.686,numeric__Số cuối năm > 3.543.587.941,numeric__Ngàn VND Số đầu năm > 3.813.603.686
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,2.875.304.500,(499.402.722),2875304500.0,-499402722.0
Lỗ trong năm phân bổ cho cổ đông không kiểm soát,Lỗ trong năm phân bổ cho cổ đông không kiểm soát,Lỗ trong năm phân bổ cho cổ đông không kiểm soát,(2.025.322.017),(111.262.363),-2025322017.0,-111262363.0
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,(264.516.161),(848.934.538),-264516161.0,-848934538.0
Cổ tức phải trả cho cổ đông không kiểm soát,Cổ tức phải trả cho cổ đông không kiểm soát,Cổ tức phải trả cho cổ đông không kiểm soát,(6.151.425),(7.416.122),-6151425.0,-7416122.0
Phát hành cổ phiếu cho cổ đông không kiểm soát của công ty con,Phát hành cổ phiếu cho cổ đông không kiểm soát của công ty con,Phát hành cổ phiếu cho cổ đông không kiểm soát của công ty con,-,1.197.000.000,,1197000000.0
Số cuối năm,Số cuối năm,Số cuối năm,4.122.902.838,3.543.587.941,4122902838.0,3543587941.0
